,champion,games,presence,bans,picks,byteams,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare
0,aphelios,221,0.991,156.0,65.0,15.0,37,37,56.9,4.15,1.57,4.22,5.33,348.34,9.93,15.7,446.0,0.6779999999999999,0.337,0.256
1,sett,220,0.987,138.0,82.0,25.0,40,40,48.8,2.0,2.76,4.43,2.33,234.39,6.95,11.9,353.0,0.607,0.18899999999999997,0.205
2,ornn,192,0.861,98.0,94.0,21.0,54,54,57.4,1.44,2.02,6.0,3.68,243.29,7.27,11.4,341.0,0.649,0.125,0.19699999999999998
3,leblanc,161,0.722,125.0,36.0,11.0,21,21,58.3,3.5,1.78,4.64,4.58,272.25,8.29,12.6,384.0,0.701,0.301,0.223
4,zoe,158,0.7090000000000001,91.0,67.0,12.0,35,35,52.2,2.93,1.54,5.36,5.39,277.27,8.21,12.8,378.0,0.723,0.255,0.218
5,jarvan iv,155,0.695,57.0,98.0,14.0,49,49,50.0,1.24,2.38,7.63,3.73,160.23,4.98,9.8,305.0,0.825,0.11599999999999999,0.17800000000000002
6,senna,138,0.619,96.0,42.0,17.0,26,26,61.9,2.31,1.6,6.5,5.52,90.86,2.7,10.0,297.0,0.8109999999999999,0.213,0.171
7,miss fortune,126,0.565,12.0,114.0,14.0,53,53,46.5,3.68,1.77,3.89,4.28,358.83,10.56,15.2,447.0,0.745,0.36200000000000004,0.262
8,kalista,124,0.556,65.0,59.0,14.0,34,34,57.6,3.92,1.61,4.47,5.21,337.9,10.15,14.9,448.0,0.737,0.344,0.256
9,olaf,121,0.5429999999999999,67.0,54.0,12.0,30,30,55.6,2.44,1.96,5.39,3.99,190.78,5.66,11.1,331.0,0.6920000000000001,0.21600000000000003,0.188
10,azir,120,0.5379999999999999,56.0,64.0,11.0,36,36,56.3,2.75,1.64,4.16,4.21,312.11,9.52,13.6,414.0,0.7,0.27899999999999997,0.239
11,varus,120,0.5379999999999999,71.0,49.0,15.0,28,28,57.1,3.76,1.98,4.51,4.18,319.49,9.67,14.2,430.0,0.7070000000000001,0.321,0.24600000000000002
12,nautilus,117,0.525,40.0,77.0,14.0,34,34,44.2,0.82,3.14,5.79,2.1,62.29,1.89,7.8,237.0,0.61,0.076,0.139
13,elise,112,0.502,74.0,38.0,10.0,19,19,50.0,2.34,2.26,4.42,2.99,176.76,5.17,10.8,314.0,0.6759999999999999,0.23399999999999999,0.183
14,aatrox,108,0.484,33.0,75.0,16.0,35,35,46.7,2.08,2.44,3.49,2.28,264.47,8.09,12.1,370.0,0.5489999999999999,0.205,0.215
15,trundle,101,0.45299999999999996,42.0,59.0,13.0,36,36,61.0,1.36,1.86,7.22,4.6,163.78,4.86,10.1,298.0,0.711,0.11199999999999999,0.172
16,rumble,98,0.439,43.0,55.0,22.0,26,26,47.3,2.31,2.09,5.35,3.66,228.09,6.93,11.3,344.0,0.685,0.207,0.2
17,taric,96,0.43,32.0,64.0,11.0,33,33,51.6,0.27,2.27,7.95,3.63,34.81,1.07,7.3,224.0,0.78,0.025,0.13
18,yuumi,96,0.43,60.0,36.0,10.0,14,14,38.9,0.64,1.61,7.69,5.17,16.78,0.5,7.3,216.0,0.847,0.065,0.129
19,akali,85,0.381,59.0,26.0,14.0,15,15,57.7,2.58,1.88,3.62,3.29,283.81,8.34,12.9,378.0,0.531,0.221,0.21600000000000003
20,lucian,79,0.354,53.0,26.0,13.0,9,9,34.6,2.19,2.31,3.81,2.6,328.04,9.41,13.9,400.0,0.67,0.245,0.24
21,renekton,76,0.341,55.0,21.0,11.0,9,9,42.9,1.71,2.33,5.24,2.98,306.71,8.27,14.0,378.0,0.643,0.159,0.22
22,lee sin,73,0.327,25.0,48.0,11.0,13,13,27.1,2.0,2.69,4.58,2.45,180.54,5.31,10.4,308.0,0.721,0.21899999999999997,0.185
23,rek'sai,71,0.318,34.0,37.0,9.0,21,21,56.8,2.68,2.54,4.54,2.84,181.65,5.41,10.9,325.0,0.653,0.242,0.187
24,ezreal,70,0.314,16.0,54.0,14.0,25,25,46.3,3.39,1.85,3.15,3.53,327.24,9.93,14.2,431.0,0.6759999999999999,0.35100000000000003,0.252
25,syndra,69,0.309,35.0,34.0,14.0,14,14,41.2,2.0,1.82,4.03,3.31,303.41,8.65,12.9,369.0,0.574,0.19,0.21899999999999997
26,tahm kench,66,0.29600000000000004,24.0,42.0,10.0,24,24,57.1,0.38,1.74,6.26,3.82,100.14,3.04,8.6,260.0,0.65,0.037000000000000005,0.151
27,pantheon,65,0.29100000000000004,46.0,19.0,10.0,11,11,57.9,2.11,2.32,3.63,2.48,233.95,7.27,11.3,352.0,0.542,0.19899999999999998,0.201
28,braum,63,0.28300000000000003,16.0,47.0,14.0,25,25,53.2,0.34,2.36,7.72,3.41,34.68,0.96,7.8,217.0,0.71,0.03,0.127
29,thresh,63,0.28300000000000003,27.0,36.0,9.0,17,17,47.2,0.36,2.36,7.58,3.36,35.19,1.03,7.7,225.0,0.715,0.033,0.129
30,gragas,63,0.28300000000000003,28.0,35.0,10.0,18,18,51.4,1.54,1.69,5.71,4.31,197.54,5.29,11.2,300.0,0.713,0.152,0.17600000000000002
31,sylas,60,0.26899999999999996,29.0,31.0,17.0,15,15,48.4,3.45,2.74,4.94,3.06,232.42,7.0,12.0,361.0,0.648,0.267,0.205
32,soraka,60,0.26899999999999996,46.0,14.0,9.0,7,7,50.0,0.64,1.64,6.93,4.61,178.64,5.32,9.6,286.0,0.774,0.066,0.17
33,sejuani,47,0.21100000000000002,8.0,39.0,11.0,21,21,53.8,1.85,1.62,6.85,5.38,172.64,5.28,10.3,314.0,0.735,0.156,0.18
34,mordekaiser,45,0.20199999999999999,21.0,24.0,10.0,9,9,37.5,2.96,3.75,2.96,1.58,258.33,7.67,12.2,363.0,0.5379999999999999,0.26899999999999996,0.214
35,irelia,45,0.20199999999999999,33.0,12.0,5.0,5,5,41.7,3.92,4.5,4.42,1.85,318.25,8.65,14.7,400.0,0.61,0.287,0.23
36,kennen,43,0.193,16.0,27.0,8.0,15,15,55.6,1.78,2.52,3.63,2.15,268.89,8.03,12.2,364.0,0.52,0.171,0.212
37,rakan,35,0.157,7.0,28.0,12.0,13,13,46.4,0.32,2.46,7.46,3.16,39.54,1.14,7.8,224.0,0.71,0.028999999999999998,0.13
38,jayce,35,0.157,14.0,21.0,8.0,12,12,57.1,3.19,2.38,4.9,3.4,278.52,8.83,13.0,413.0,0.6829999999999999,0.26899999999999996,0.235
39,kai'sa,34,0.152,7.0,27.0,11.0,11,11,40.7,3.85,1.74,3.56,4.26,316.37,9.93,14.2,445.0,0.6729999999999999,0.35,0.258
40,xayah,32,0.14300000000000002,12.0,20.0,10.0,9,9,45.0,3.8,2.15,2.8,3.07,353.3,10.29,15.2,443.0,0.623,0.358,0.256
41,qiyana,30,0.135,20.0,10.0,6.0,5,5,50.0,2.5,2.3,4.6,3.09,282.7,7.67,13.3,360.0,0.555,0.195,0.21
42,morgana,27,0.121,12.0,15.0,6.0,10,10,66.7,1.67,1.67,8.2,5.92,57.13,1.78,8.3,258.0,0.7709999999999999,0.13,0.146
43,galio,26,0.11699999999999999,11.0,15.0,7.0,8,8,53.3,3.0,2.0,5.33,4.17,241.47,7.61,11.5,363.0,0.7490000000000001,0.26899999999999996,0.20800000000000002
44,ekko,26,0.11699999999999999,12.0,14.0,8.0,7,7,50.0,2.36,1.71,4.36,3.92,296.21,8.85,13.0,388.0,0.623,0.21899999999999997,0.223
45,leona,26,0.11699999999999999,12.0,14.0,6.0,5,5,35.7,0.5,4.86,6.14,1.37,40.36,1.13,7.9,220.0,0.5539999999999999,0.042,0.128
46,blitzcrank,21,0.094,11.0,10.0,5.0,8,8,80.0,1.2,2.7,6.5,2.85,32.7,0.88,8.3,222.0,0.597,0.09300000000000001,0.126
47,zilean,21,0.094,12.0,9.0,4.0,6,6,66.7,1.89,0.78,7.67,12.29,254.67,7.44,11.9,347.0,0.843,0.16699999999999998,0.20199999999999999
48,gnar,20,0.09,5.0,15.0,6.0,6,6,40.0,1.13,2.93,3.67,1.64,279.13,8.12,12.6,366.0,0.6,0.142,0.22
49,illaoi,20,0.09,15.0,5.0,1.0,2,2,40.0,2.6,5.4,5.6,1.52,286.8,7.01,13.9,340.0,0.594,0.188,0.203
50,karma,19,0.085,6.0,13.0,9.0,7,7,53.8,0.85,1.15,7.77,7.47,86.31,2.69,8.4,262.0,0.818,0.08,0.151
51,cassiopeia,18,0.081,4.0,14.0,10.0,5,5,35.7,2.5,2.57,3.14,2.19,273.86,8.64,12.0,378.0,0.705,0.313,0.226
52,viktor,18,0.081,4.0,14.0,9.0,5,5,35.7,2.93,2.36,3.14,2.58,332.43,9.12,14.4,395.0,0.649,0.313,0.237
53,kassadin,18,0.081,12.0,6.0,5.0,2,2,33.3,3.67,1.67,3.5,4.3,295.33,9.22,13.3,414.0,0.7170000000000001,0.36700000000000005,0.244
