,champion,games,presence,bans,picks,byteams,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare
0,aphelios,88,0.9359999999999999,41.0,47.0,12.0,31,31,66.0,3.49,1.55,4.53,5.16,320.7,9.34,14.7,428.0,0.628,0.273,0.245
1,sett,82,0.872,48.0,34.0,13.0,24,24,70.6,2.24,2.12,5.06,3.44,232.62,7.21,11.8,367.0,0.586,0.18,0.207
2,aatrox,75,0.7979999999999999,23.0,52.0,11.0,22,22,42.3,2.17,2.35,3.65,2.48,273.98,8.02,12.7,373.0,0.563,0.21,0.221
3,syndra,73,0.777,43.0,30.0,11.0,22,22,73.3,3.73,1.5,4.13,5.24,310.23,8.84,14.1,402.0,0.652,0.309,0.231
4,ornn,73,0.777,46.0,27.0,15.0,16,16,59.3,1.3,1.78,6.41,4.33,240.81,6.56,11.8,322.0,0.6579999999999999,0.111,0.192
5,senna,73,0.777,48.0,25.0,10.0,10,10,40.0,2.88,1.28,5.0,6.16,249.68,7.14,13.0,371.0,0.8109999999999999,0.29600000000000004,0.225
6,tahm kench,70,0.745,28.0,42.0,11.0,18,18,42.9,0.4,2.17,5.93,2.92,35.95,1.03,7.5,217.0,0.63,0.04,0.13
7,leblanc,70,0.745,56.0,14.0,6.0,4,4,28.6,2.71,2.21,2.79,2.48,279.93,7.8,12.9,360.0,0.664,0.32799999999999996,0.223
8,rumble,64,0.6809999999999999,50.0,14.0,12.0,8,8,57.1,3.64,2.36,6.71,4.39,250.29,6.91,12.9,355.0,0.74,0.26,0.207
9,lee sin,56,0.596,15.0,41.0,12.0,22,22,53.7,1.93,2.37,5.41,3.1,165.95,4.82,10.4,302.0,0.6809999999999999,0.179,0.177
10,gragas,56,0.596,27.0,29.0,9.0,19,19,65.5,2.34,1.97,5.93,4.21,162.59,5.06,10.0,311.0,0.6940000000000001,0.19699999999999998,0.179
11,zoe,54,0.574,21.0,33.0,10.0,17,17,51.5,2.82,1.79,4.67,4.19,262.27,7.69,12.4,362.0,0.7240000000000001,0.273,0.215
12,jarvan iv,54,0.574,26.0,28.0,9.0,13,13,46.4,1.32,3.25,7.39,2.68,159.61,4.71,9.9,292.0,0.841,0.128,0.175
13,xayah,50,0.532,28.0,22.0,6.0,15,15,68.2,3.68,1.14,4.5,7.2,338.55,9.84,15.0,436.0,0.698,0.314,0.255
14,nautilus,47,0.5,9.0,38.0,11.0,22,22,57.9,0.89,3.18,6.08,2.19,45.32,1.33,7.8,230.0,0.5920000000000001,0.076,0.135
15,elise,44,0.46799999999999997,30.0,14.0,7.0,5,5,35.7,1.93,2.57,3.5,2.11,181.14,4.8,10.9,288.0,0.639,0.22699999999999998,0.17800000000000002
