,champion,games,presence,bans,picks,byteams,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare
0,aphelios,86,0.956,40.0,46.0,10.0,23,23,50.0,3.13,2.22,4.57,3.47,332.2,9.78,14.6,431.0,0.6890000000000001,0.28,0.248
1,gragas,76,0.8440000000000001,33.0,43.0,11.0,25,25,58.1,2.21,2.02,6.14,4.13,171.14,4.89,10.5,300.0,0.647,0.171,0.172
2,syndra,71,0.789,61.0,10.0,9.0,7,7,70.0,4.0,2.2,4.6,3.91,312.6,9.08,14.1,410.0,0.628,0.292,0.23199999999999998
3,ornn,70,0.778,42.0,28.0,14.0,12,12,42.9,1.18,2.46,5.89,2.87,226.75,6.8,11.0,329.0,0.6509999999999999,0.109,0.19399999999999998
4,sett,65,0.722,27.0,38.0,16.0,18,18,47.4,2.39,2.84,4.58,2.45,238.66,7.1,12.2,362.0,0.588,0.20199999999999999,0.20800000000000002
5,senna,64,0.711,42.0,22.0,11.0,14,14,63.6,3.64,1.64,7.91,7.06,220.09,6.67,12.6,381.0,0.812,0.256,0.217
6,leblanc,61,0.6779999999999999,39.0,22.0,10.0,10,10,45.5,4.0,2.18,4.05,3.69,291.59,8.27,13.8,391.0,0.6829999999999999,0.34,0.22899999999999998
7,rakan,59,0.6559999999999999,31.0,28.0,11.0,14,14,50.0,0.96,2.36,8.07,3.83,35.75,1.08,7.8,235.0,0.7090000000000001,0.076,0.134
8,pantheon,59,0.6559999999999999,44.0,15.0,8.0,6,6,40.0,3.73,2.47,5.4,3.7,193.8,6.47,10.9,365.0,0.721,0.295,0.20600000000000002
9,aatrox,58,0.644,25.0,33.0,11.0,19,19,57.6,2.79,1.85,4.64,4.02,275.09,7.88,13.4,384.0,0.5329999999999999,0.2,0.218
10,gangplank,58,0.644,34.0,24.0,7.0,13,13,54.2,2.92,2.04,5.46,4.1,291.29,8.47,14.9,433.0,0.672,0.23399999999999999,0.242
11,nautilus,57,0.633,17.0,40.0,12.0,18,18,45.0,0.78,3.8,6.55,1.93,41.2,1.17,7.9,225.0,0.612,0.065,0.131
12,braum,50,0.556,13.0,37.0,11.0,17,17,45.9,0.46,2.24,7.54,3.57,33.54,0.96,7.7,221.0,0.7340000000000001,0.042,0.129
13,miss fortune,46,0.511,8.0,38.0,11.0,16,16,42.1,3.13,1.82,4.13,4.0,342.32,10.04,14.7,432.0,0.649,0.28,0.25
14,lee sin,45,0.5,9.0,36.0,10.0,18,18,50.0,2.97,2.36,5.92,3.76,161.33,4.87,10.4,314.0,0.6970000000000001,0.233,0.18
15,thresh,45,0.5,25.0,20.0,9.0,15,15,75.0,0.95,2.6,10.25,4.31,34.65,1.06,7.7,237.0,0.7,0.059000000000000004,0.128
16,jarvan iv,38,0.42200000000000004,22.0,16.0,8.0,3,3,18.8,0.88,4.38,5.88,1.54,145.75,4.11,9.6,270.0,0.684,0.08900000000000001,0.162
17,akali,35,0.389,31.0,4.0,2.0,4,4,100.0,6.0,1.75,5.0,6.29,268.0,8.57,13.5,433.0,0.603,0.32899999999999996,0.23399999999999999
18,karthus,34,0.37799999999999995,24.0,10.0,5.0,7,7,70.0,4.4,1.7,5.8,6.0,235.8,6.77,12.9,371.0,0.816,0.35200000000000004,0.205
19,soraka,30,0.33299999999999996,24.0,6.0,4.0,5,5,83.3,0.5,2.17,12.5,6.0,177.17,5.27,9.9,293.0,0.772,0.03,0.168
20,azir,29,0.322,10.0,19.0,7.0,9,9,47.4,3.16,2.53,3.89,2.79,327.0,9.6,14.3,421.0,0.606,0.271,0.242
21,ezreal,28,0.311,8.0,20.0,10.0,10,10,50.0,3.45,1.3,3.6,5.42,341.1,9.85,14.9,429.0,0.691,0.33799999999999997,0.252
22,xayah,28,0.311,10.0,18.0,10.0,8,8,44.4,3.61,2.0,4.33,3.97,331.06,9.8,14.8,439.0,0.65,0.295,0.252
23,cassiopeia,27,0.3,16.0,11.0,4.0,5,5,45.5,3.09,3.0,4.73,2.61,313.73,9.08,14.1,408.0,0.589,0.233,0.23
24,qiyana,27,0.3,19.0,8.0,6.0,6,6,75.0,5.0,2.38,3.63,3.63,275.88,7.61,14.1,390.0,0.585,0.33899999999999997,0.218
25,sejuani,26,0.289,7.0,19.0,9.0,10,10,52.6,1.84,2.26,6.0,3.47,166.21,4.8,10.4,301.0,0.665,0.156,0.171
26,olaf,26,0.289,18.0,8.0,5.0,5,5,62.5,2.88,3.5,5.25,2.32,191.13,5.83,11.0,335.0,0.691,0.245,0.192
27,tahm kench,25,0.278,9.0,16.0,6.0,8,8,50.0,0.63,2.56,6.13,2.63,40.31,1.23,7.4,227.0,0.56,0.052000000000000005,0.13
28,yuumi,24,0.267,18.0,6.0,5.0,4,4,66.7,0.33,1.33,8.83,6.88,11.5,0.32,7.7,217.0,0.932,0.034,0.13
29,renekton,23,0.256,10.0,13.0,6.0,7,7,53.8,1.23,2.69,3.77,1.86,273.62,8.39,12.3,376.0,0.46799999999999997,0.115,0.217
30,elise,21,0.233,8.0,13.0,7.0,5,5,38.5,2.15,2.38,3.85,2.52,160.92,4.83,9.7,291.0,0.5820000000000001,0.209,0.174
31,rumble,21,0.233,16.0,5.0,5.0,1,1,20.0,1.4,3.6,3.8,1.44,256.2,7.14,12.2,341.0,0.605,0.163,0.209
32,zoe,20,0.222,4.0,16.0,7.0,6,6,37.5,1.94,2.06,5.0,3.36,260.38,8.22,11.6,367.0,0.653,0.182,0.218
33,lucian,20,0.222,18.0,2.0,2.0,2,2,100.0,5.5,0.5,6.0,23.0,265.0,9.43,13.2,471.0,0.821,0.39299999999999996,0.249
34,kalista,19,0.21100000000000002,14.0,5.0,3.0,4,4,80.0,3.8,1.8,8.0,6.56,306.2,9.85,14.7,474.0,0.67,0.21600000000000003,0.251
35,yasuo,19,0.21100000000000002,15.0,4.0,4.0,1,1,25.0,2.0,4.5,4.5,1.44,277.25,8.73,12.4,389.0,0.684,0.21100000000000002,0.239
36,irelia,19,0.21100000000000002,16.0,3.0,2.0,1,1,33.3,2.0,5.33,3.0,0.94,295.67,8.68,13.0,383.0,0.556,0.222,0.226
37,leona,17,0.18899999999999997,7.0,10.0,6.0,3,3,30.0,0.6,3.1,5.8,2.06,34.9,1.06,7.2,219.0,0.703,0.066,0.132
38,ryze,16,0.17800000000000002,6.0,10.0,7.0,3,3,30.0,1.9,4.1,3.9,1.41,333.6,10.17,14.2,434.0,0.523,0.171,0.249
