,champion,games,presence,bans,picks,byteams,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare
0,sett,64,0.97,36.0,28.0,11.0,12,12,42.9,1.75,2.82,4.14,2.09,252.57,6.83,12.8,346.0,0.563,0.16699999999999998,0.204
1,ornn,64,0.97,37.0,27.0,11.0,17,17,63.0,1.33,2.07,5.96,3.52,235.67,6.86,11.4,331.0,0.599,0.109,0.193
2,aphelios,63,0.955,43.0,20.0,9.0,13,13,65.0,3.9,2.25,4.05,3.53,373.4,9.77,16.9,443.0,0.71,0.348,0.258
3,senna,54,0.818,44.0,10.0,7.0,5,5,50.0,2.4,1.9,6.4,4.63,102.5,2.84,10.8,299.0,0.846,0.231,0.179
4,jarvan iv,46,0.6970000000000001,21.0,25.0,9.0,10,10,40.0,1.4,2.72,6.48,2.9,169.12,4.68,10.6,292.0,0.838,0.149,0.17300000000000001
5,zoe,44,0.667,21.0,23.0,6.0,11,11,47.8,2.57,2.09,3.87,3.08,307.13,7.98,14.1,366.0,0.667,0.266,0.22
6,miss fortune,41,0.621,10.0,31.0,10.0,14,14,45.2,3.39,1.97,4.29,3.9,374.77,10.1,15.9,430.0,0.6779999999999999,0.299,0.251
7,syndra,39,0.591,20.0,19.0,8.0,11,11,57.9,3.11,1.95,3.58,3.43,305.74,8.22,14.0,376.0,0.6409999999999999,0.298,0.22
8,leblanc,38,0.5760000000000001,27.0,11.0,4.0,8,8,72.7,3.27,1.55,5.64,5.76,276.18,7.52,13.5,368.0,0.667,0.245,0.21
9,pantheon,38,0.5760000000000001,34.0,4.0,3.0,3,3,75.0,4.0,2.75,5.0,3.27,175.0,6.18,10.2,361.0,0.48,0.213,0.19399999999999998
10,lee sin,37,0.561,12.0,25.0,7.0,14,14,56.0,2.16,2.28,5.84,3.51,179.16,4.78,11.3,301.0,0.7090000000000001,0.191,0.17600000000000002
11,kalista,37,0.561,26.0,11.0,6.0,8,8,72.7,5.45,1.18,4.73,8.62,371.0,10.51,16.6,469.0,0.848,0.455,0.264
12,nautilus,35,0.53,12.0,23.0,9.0,12,12,52.2,0.48,2.91,7.26,2.66,40.83,1.06,8.5,222.0,0.657,0.040999999999999995,0.13
13,aatrox,32,0.485,8.0,24.0,9.0,11,11,45.8,1.75,2.58,3.08,1.87,306.96,8.14,13.9,370.0,0.485,0.17600000000000002,0.21899999999999997
14,gragas,32,0.485,14.0,18.0,8.0,11,11,61.1,2.11,2.0,6.83,4.47,194.33,4.89,11.8,298.0,0.685,0.162,0.17300000000000001
15,azir,32,0.485,14.0,18.0,8.0,7,7,38.9,2.61,1.94,3.17,2.97,309.61,9.37,13.3,404.0,0.623,0.281,0.23800000000000002
16,elise,29,0.439,21.0,8.0,5.0,0,0,0.0,1.5,4.0,3.75,1.31,167.75,4.71,10.0,281.0,0.627,0.179,0.175
17,yuumi,28,0.424,16.0,12.0,8.0,4,4,33.3,0.5,1.92,7.5,4.17,21.17,0.56,8.2,218.0,0.774,0.048,0.131
18,rumble,28,0.424,17.0,11.0,7.0,8,8,72.7,2.64,1.55,6.55,5.94,271.73,7.32,13.4,361.0,0.732,0.21,0.207
19,varus,27,0.409,10.0,17.0,8.0,8,8,47.1,3.71,2.0,4.18,3.94,342.18,9.17,15.8,422.0,0.732,0.344,0.25
20,trundle,25,0.379,6.0,19.0,7.0,9,9,47.4,1.05,2.16,6.32,3.41,167.0,4.54,10.4,283.0,0.7290000000000001,0.10400000000000001,0.17
21,thresh,24,0.364,5.0,19.0,8.0,10,10,52.6,0.74,2.42,7.74,3.5,37.32,0.99,8.6,228.0,0.759,0.066,0.133
22,tahm kench,24,0.364,6.0,18.0,10.0,8,8,44.4,0.33,2.28,4.72,2.22,99.61,2.76,9.0,248.0,0.591,0.039,0.15
23,sejuani,24,0.364,10.0,14.0,8.0,8,8,57.1,1.93,1.71,6.43,4.88,183.71,4.86,11.4,300.0,0.696,0.161,0.175
24,renekton,22,0.33299999999999996,11.0,11.0,5.0,3,3,27.3,1.82,2.55,3.91,2.25,308.0,7.61,14.2,351.0,0.5379999999999999,0.171,0.213
25,gangplank,21,0.318,8.0,13.0,6.0,11,11,84.6,2.62,1.31,6.23,6.76,310.92,8.88,15.3,438.0,0.701,0.207,0.242
26,braum,21,0.318,9.0,12.0,7.0,6,6,50.0,0.33,2.08,7.17,3.6,40.83,1.03,8.6,215.0,0.726,0.032,0.128
27,lucian,19,0.28800000000000003,14.0,5.0,3.0,0,0,0.0,2.8,2.4,1.8,1.92,341.2,8.82,15.3,395.0,0.639,0.389,0.247
28,leona,18,0.273,8.0,10.0,3.0,6,6,60.0,0.9,2.5,8.5,3.76,47.0,1.27,8.9,241.0,0.701,0.067,0.138
29,taric,18,0.273,10.0,8.0,4.0,1,1,12.5,0.25,2.38,6.25,2.74,38.13,1.08,7.7,218.0,0.754,0.028999999999999998,0.135
30,wukong,16,0.242,13.0,3.0,3.0,2,2,66.7,3.0,1.67,7.33,6.2,303.0,7.77,14.5,373.0,0.7559999999999999,0.22,0.217
31,ezreal,15,0.22699999999999998,4.0,11.0,8.0,4,4,36.4,2.55,2.18,2.82,2.46,353.82,9.12,15.5,399.0,0.608,0.289,0.24
32,rakan,14,0.212,3.0,11.0,6.0,7,7,63.6,0.82,1.18,10.36,9.46,40.09,1.12,8.4,235.0,0.879,0.064,0.136
33,corki,13,0.19699999999999998,4.0,9.0,4.0,3,3,33.3,4.67,2.33,3.33,3.43,370.89,9.4,17.0,430.0,0.679,0.396,0.254
34,xayah,12,0.182,3.0,9.0,4.0,6,6,66.7,4.78,1.44,5.22,6.92,367.44,9.95,16.4,443.0,0.7140000000000001,0.341,0.253
35,kindred,12,0.182,6.0,6.0,3.0,2,2,33.3,2.83,2.5,4.0,2.73,253.17,7.84,12.0,372.0,0.7070000000000001,0.293,0.23
36,olaf,12,0.182,8.0,4.0,3.0,2,2,50.0,2.0,2.25,4.75,3.0,191.25,5.65,11.1,328.0,0.628,0.18600000000000003,0.18899999999999997
37,irelia,11,0.16699999999999998,9.0,2.0,2.0,0,0,0.0,0.5,3.5,2.0,0.71,351.5,8.44,14.7,353.0,0.33299999999999996,0.067,0.218
38,soraka,10,0.152,10.0,,,0,0,,,,,,,,,,,,
39,ekko,9,0.136,3.0,6.0,3.0,4,4,66.7,4.0,2.33,4.33,3.57,261.33,7.84,13.0,389.0,0.667,0.32,0.21600000000000003
40,yasuo,8,0.121,4.0,4.0,3.0,3,3,75.0,4.0,2.75,5.75,3.55,276.0,8.5,13.1,405.0,0.629,0.258,0.226
41,camille,8,0.121,4.0,4.0,4.0,1,1,25.0,2.5,3.25,2.5,1.54,433.25,9.18,19.5,414.0,0.588,0.294,0.245
42,mordekaiser,8,0.121,5.0,3.0,2.0,1,1,33.3,1.33,3.0,3.33,1.56,291.67,7.12,13.9,340.0,0.424,0.121,0.20199999999999999
43,ziggs,7,0.106,2.0,5.0,3.0,2,2,40.0,2.2,1.4,5.0,5.14,368.8,9.26,15.7,393.0,0.7659999999999999,0.23399999999999999,0.23399999999999999
44,kassadin,7,0.106,4.0,3.0,2.0,1,1,33.3,4.0,2.67,2.67,2.5,292.33,8.95,13.5,414.0,0.833,0.5,0.25
45,ryze,7,0.106,5.0,2.0,2.0,0,0,0.0,4.5,3.0,3.5,2.67,320.5,8.61,15.4,413.0,0.762,0.429,0.248
46,kai'sa,6,0.091,,6.0,5.0,2,2,33.3,2.33,1.83,2.33,2.55,300.0,8.82,13.7,402.0,0.667,0.33299999999999996,0.248
47,sylas,6,0.091,1.0,5.0,5.0,2,2,40.0,2.2,3.4,3.0,1.53,238.4,7.73,11.3,366.0,0.52,0.22,0.21600000000000003
48,vel'koz,6,0.091,1.0,5.0,2.0,2,2,40.0,2.6,1.2,6.0,7.17,314.6,8.5,14.3,385.0,0.7290000000000001,0.22,0.22399999999999998
49,tristana,6,0.091,3.0,3.0,3.0,3,3,100.0,7.0,1.67,7.67,8.8,303.67,9.03,16.0,477.0,0.721,0.344,0.251
50,fiora,6,0.091,3.0,3.0,2.0,2,2,66.7,1.67,2.67,1.33,1.13,361.0,9.05,16.4,412.0,0.22,0.122,0.22899999999999998
51,rek'sai,6,0.091,3.0,3.0,2.0,2,2,66.7,2.0,2.0,3.0,2.5,199.67,4.88,12.5,306.0,0.395,0.158,0.174
52,graves,6,0.091,4.0,2.0,1.0,1,1,50.0,3.0,0.5,1.5,9.0,236.0,6.29,12.4,330.0,0.75,0.5,0.201
53,cassiopeia,5,0.076,2.0,3.0,2.0,2,2,66.7,3.33,2.0,6.0,4.67,354.67,8.87,15.8,396.0,0.8,0.28600000000000003,0.228
54,karma,5,0.076,2.0,3.0,3.0,2,2,66.7,0.0,1.67,7.67,4.6,23.67,0.66,7.7,213.0,0.6970000000000001,0.0,0.124
55,karthus,5,0.076,3.0,2.0,2.0,2,2,100.0,3.0,1.5,6.5,6.33,272.0,6.67,13.9,340.0,0.792,0.25,0.19399999999999998
56,taliyah,4,0.061,1.0,3.0,2.0,2,2,66.7,4.0,2.0,9.0,6.5,171.0,5.24,11.1,339.0,0.6,0.185,0.184
57,ashe,4,0.061,1.0,3.0,2.0,1,1,33.3,3.67,2.67,7.67,4.25,426.33,9.12,19.8,423.0,0.872,0.282,0.251
58,orianna,4,0.061,1.0,3.0,3.0,1,1,33.3,2.0,2.67,2.67,1.75,299.67,8.46,12.5,353.0,0.737,0.316,0.21899999999999997
59,akali,4,0.061,3.0,1.0,1.0,0,0,0.0,3.0,5.0,0.0,0.6,225.0,8.37,10.2,381.0,0.3,0.3,0.248
60,bard,3,0.045,,3.0,2.0,3,3,100.0,2.33,0.33,12.67,45.0,32.33,1.16,7.9,283.0,0.8490000000000001,0.132,0.14400000000000002
61,veigar,3,0.045,,3.0,2.0,2,2,66.7,5.0,2.67,7.33,4.63,309.33,8.71,14.8,416.0,0.607,0.24600000000000002,0.231
62,alistar,3,0.045,1.0,2.0,2.0,2,2,100.0,1.0,1.0,11.5,12.5,31.5,1.05,7.4,248.0,0.8059999999999999,0.065,0.132
63,blitzcrank,3,0.045,1.0,2.0,2.0,1,1,50.0,1.5,2.0,4.0,2.75,27.5,0.92,7.5,250.0,0.579,0.158,0.141
64,zilean,3,0.045,1.0,2.0,2.0,0,0,0.0,0.5,3.5,5.0,1.57,355.5,8.18,14.9,343.0,0.524,0.048,0.213
65,jayce,3,0.045,2.0,1.0,1.0,1,1,100.0,4.0,1.0,2.0,6.0,427.0,9.8,18.2,418.0,0.545,0.364,0.239
66,maokai,3,0.045,2.0,1.0,1.0,1,1,100.0,0.0,1.0,7.0,7.0,269.0,8.55,12.3,390.0,0.875,0.0,0.218
67,malphite,2,0.03,,2.0,2.0,2,2,100.0,2.5,1.0,8.0,10.5,195.5,7.14,10.3,376.0,0.47700000000000004,0.114,0.19
68,gnar,2,0.03,,2.0,2.0,1,1,50.0,2.0,2.5,2.0,1.6,395.0,8.34,19.4,410.0,0.47100000000000003,0.235,0.23600000000000002
69,jhin,2,0.03,,2.0,2.0,1,1,50.0,5.5,4.5,6.0,2.56,293.5,7.87,15.5,416.0,0.6759999999999999,0.324,0.239
70,vladimir,2,0.03,,2.0,1.0,1,1,50.0,0.5,2.5,5.0,2.2,309.5,8.11,14.0,366.0,0.5,0.045,0.21100000000000002
71,neeko,2,0.03,,2.0,2.0,0,0,0.0,1.5,3.0,2.0,1.17,304.0,7.34,13.9,336.0,0.636,0.273,0.209
72,pyke,2,0.03,,2.0,2.0,0,0,0.0,2.0,5.5,5.0,1.27,60.0,1.71,9.9,281.0,0.609,0.174,0.174
73,sion,2,0.03,,2.0,1.0,0,0,0.0,0.0,3.5,2.0,0.57,235.0,6.62,10.4,294.0,0.5,0.0,0.19899999999999998
74,morgana,2,0.03,1.0,1.0,1.0,1,1,100.0,0.0,4.0,7.0,1.75,36.0,0.77,10.4,220.0,0.583,0.0,0.129
75,diana,2,0.03,1.0,1.0,1.0,0,0,0.0,1.0,2.0,2.0,1.5,256.0,8.51,10.9,362.0,0.429,0.14300000000000002,0.21600000000000003
76,galio,2,0.03,1.0,1.0,1.0,0,0,0.0,1.0,1.0,3.0,4.0,342.0,7.27,15.7,333.0,0.5710000000000001,0.14300000000000002,0.203
77,qiyana,2,0.03,1.0,1.0,1.0,0,0,0.0,3.0,5.0,2.0,1.0,187.0,6.96,8.9,331.0,0.5,0.3,0.215
78,kennen,1,0.015,,1.0,1.0,1,1,100.0,5.0,1.0,6.0,11.0,326.0,7.12,15.8,345.0,0.579,0.263,0.20199999999999999
79,nocturne,1,0.015,,1.0,1.0,1,1,100.0,5.0,0.0,6.0,11.0,171.0,6.34,10.6,393.0,0.611,0.278,0.201
80,viktor,1,0.015,,1.0,1.0,1,1,100.0,8.0,1.0,6.0,14.0,586.0,10.82,26.2,484.0,0.8240000000000001,0.47100000000000003,0.28800000000000003
81,fiddlesticks,1,0.015,,1.0,1.0,0,0,0.0,0.0,8.0,4.0,0.5,119.0,4.41,6.8,252.0,0.667,0.0,0.168
82,jax,1,0.015,,1.0,1.0,0,0,0.0,2.0,2.0,2.0,2.0,326.0,9.12,14.6,407.0,0.667,0.33299999999999996,0.252
83,lulu,1,0.015,,1.0,1.0,0,0,0.0,0.0,1.0,0.0,0.0,41.0,0.84,10.2,210.0,0.0,0.0,0.127
84,tryndamere,1,0.015,,1.0,1.0,0,0,0.0,2.0,6.0,0.0,0.33,207.0,6.79,9.9,326.0,0.182,0.182,0.19699999999999998
85,lissandra,1,0.015,1.0,,,0,0,,,,,,,,,,,,
86,sona,1,0.015,1.0,,,0,0,,,,,,,,,,,,
