,champion,games,presence,bans,picks,byteams,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare
0,aphelios,325,0.985,219.0,106.0,19.0,60,60,56.6,4.16,2.13,5.25,4.42,304.61,9.41,,,0.68,0.301,
1,sett,265,0.8029999999999999,175.0,90.0,33.0,44,44,48.9,1.81,3.33,5.74,2.27,182.24,5.59,,,0.5770000000000001,0.138,
2,elise,238,0.721,171.0,67.0,20.0,32,32,47.8,2.7,2.49,5.75,3.39,167.82,5.12,10.6,324.0,0.6729999999999999,0.215,0.18600000000000003
3,renekton,233,0.706,125.0,108.0,24.0,59,59,54.6,2.81,2.57,5.11,3.08,257.44,7.85,,,0.5710000000000001,0.203,
4,jarvan iv,232,0.703,113.0,119.0,22.0,62,62,52.1,1.57,3.03,10.45,3.97,155.26,4.74,,,0.848,0.111,
5,varus,222,0.6729999999999999,73.0,149.0,22.0,73,73,49.0,4.04,2.49,5.58,3.87,298.72,9.25,,,0.691,0.29,
6,leblanc,217,0.6579999999999999,151.0,66.0,19.0,31,31,47.0,4.05,1.8,5.17,5.11,252.24,7.67,12.5,380.0,0.7020000000000001,0.308,0.221
7,olaf,213,0.645,159.0,54.0,15.0,24,24,44.4,3.46,2.96,5.33,2.97,174.2,5.61,,,0.65,0.256,
8,senna,212,0.642,154.0,58.0,19.0,33,33,56.9,2.95,2.33,8.09,4.74,112.81,3.41,10.8,325.0,0.7959999999999999,0.213,0.187
9,zoe,211,0.639,142.0,69.0,16.0,27,27,39.1,3.68,1.9,5.75,4.97,250.87,7.75,,,0.741,0.289,
10,thresh,204,0.618,119.0,85.0,17.0,48,48,56.5,0.86,2.85,10.05,3.83,34.67,1.04,,,0.753,0.059000000000000004,
11,nautilus,203,0.615,55.0,148.0,24.0,72,72,48.6,0.81,3.36,7.78,2.56,51.66,1.6,,,0.64,0.06,
12,miss fortune,199,0.603,21.0,178.0,19.0,87,87,48.9,4.07,2.11,5.42,4.5,318.89,9.71,,,0.728,0.313,
13,ornn,199,0.603,86.0,113.0,30.0,56,56,49.6,1.86,2.86,7.05,3.12,223.37,6.76,,,0.63,0.131,
14,kalista,186,0.564,108.0,78.0,20.0,44,44,56.4,4.01,2.12,5.21,4.36,294.06,9.36,,,0.696,0.303,
15,rumble,173,0.524,105.0,68.0,22.0,33,33,48.5,3.72,2.81,6.53,3.65,229.04,6.95,,,0.6940000000000001,0.252,
16,lee sin,168,0.509,64.0,104.0,20.0,52,52,50.0,2.88,2.79,6.65,3.42,166.84,5.14,,,0.7070000000000001,0.213,
17,mordekaiser,160,0.485,83.0,77.0,23.0,38,38,49.4,3.48,3.52,4.61,2.3,245.97,7.43,,,0.585,0.252,
18,aatrox,154,0.467,30.0,124.0,25.0,64,64,51.6,2.6,2.6,4.86,2.87,248.56,7.7,12.1,375.0,0.573,0.2,0.21600000000000003
19,azir,147,0.445,64.0,83.0,17.0,44,44,53.0,3.49,2.22,5.28,3.96,301.73,9.03,,,0.695,0.27699999999999997,
20,braum,130,0.39399999999999996,34.0,96.0,21.0,49,49,51.0,0.42,2.5,8.52,3.58,33.97,1.06,,,0.7190000000000001,0.034,
21,leona,126,0.382,33.0,93.0,21.0,45,45,48.4,0.88,3.39,7.47,2.47,34.83,1.08,,,0.622,0.066,
22,rek'sai,123,0.373,51.0,72.0,17.0,36,36,50.0,3.21,3.03,5.28,2.8,172.49,5.2,,,0.622,0.235,
23,pantheon,114,0.345,89.0,25.0,13.0,11,11,44.0,2.8,3.56,6.36,2.57,204.32,6.37,11.0,343.0,0.6920000000000001,0.21100000000000002,0.201
24,sylas,101,0.306,45.0,56.0,27.0,24,24,42.9,3.14,3.14,5.16,2.64,233.59,7.12,,,0.68,0.257,
25,trundle,98,0.297,34.0,64.0,19.0,38,38,59.4,2.03,2.25,8.41,4.64,153.78,4.73,,,0.735,0.14300000000000002,
26,kassadin,97,0.294,72.0,25.0,11.0,15,15,60.0,5.56,1.68,3.84,5.6,266.04,9.03,13.2,449.0,0.7140000000000001,0.42200000000000004,0.25
27,wukong,93,0.282,48.0,45.0,13.0,20,20,44.4,2.98,2.73,5.51,3.11,228.31,7.15,11.6,363.0,0.637,0.223,0.21100000000000002
28,tahm kench,91,0.276,33.0,58.0,17.0,32,32,55.2,0.86,2.88,7.79,3.01,86.21,2.64,8.3,256.0,0.637,0.063,0.147
29,sejuani,90,0.273,48.0,42.0,16.0,20,20,47.6,1.71,2.62,7.38,3.47,170.05,5.37,10.1,318.0,0.764,0.14400000000000002,0.183
30,syndra,89,0.27,41.0,48.0,17.0,28,28,58.3,3.73,2.54,5.67,3.7,271.58,8.41,,,0.672,0.267,
31,irelia,85,0.258,61.0,24.0,12.0,14,14,58.3,2.5,2.79,4.75,2.6,281.92,8.58,12.8,390.0,0.642,0.221,0.226
32,taric,81,0.245,32.0,49.0,18.0,26,26,53.1,0.45,2.63,9.76,3.88,34.76,1.11,,,0.773,0.034,
33,gragas,80,0.242,44.0,36.0,13.0,16,16,44.4,2.11,3.28,6.83,2.73,169.78,4.87,10.5,302.0,0.685,0.162,0.179
34,lucian,75,0.22699999999999998,45.0,30.0,17.0,10,10,33.3,3.77,3.27,3.9,2.35,286.6,8.69,13.5,409.0,0.674,0.331,0.242
35,qiyana,68,0.20600000000000002,39.0,29.0,17.0,11,11,37.9,3.24,3.48,5.34,2.47,201.31,6.34,11.0,346.0,0.648,0.245,0.198
36,corki,47,0.142,9.0,38.0,16.0,23,23,60.5,4.42,1.97,6.03,5.29,298.89,9.19,,,0.723,0.306,
37,kai'sa,44,0.133,8.0,36.0,12.0,13,13,36.1,3.94,2.14,4.56,3.97,296.61,9.37,13.7,434.0,0.7020000000000001,0.326,0.254
38,rakan,41,0.124,7.0,34.0,12.0,20,20,58.8,0.5,2.91,9.53,3.44,35.06,1.08,7.6,233.0,0.758,0.038,0.133
39,maokai,41,0.124,7.0,34.0,17.0,15,15,44.1,1.35,3.0,6.12,2.49,199.53,6.17,10.2,316.0,0.596,0.10800000000000001,0.185
40,akali,39,0.11800000000000001,34.0,5.0,5.0,0,0,0.0,1.8,3.0,1.2,1.0,238.8,7.43,10.5,327.0,0.469,0.281,0.20600000000000002
41,lissandra,35,0.106,12.0,23.0,14.0,13,13,56.5,2.26,3.04,7.35,3.16,269.04,7.99,,,0.695,0.16399999999999998,
42,gangplank,35,0.106,21.0,14.0,7.0,5,5,35.7,2.93,2.5,3.57,2.6,309.0,8.85,15.0,430.0,0.674,0.304,0.253
43,yuumi,34,0.10300000000000001,21.0,13.0,10.0,7,7,53.8,0.77,1.54,12.15,8.4,10.92,0.33,7.7,231.0,0.836,0.05,0.131
44,neeko,31,0.094,10.0,21.0,7.0,9,9,42.9,3.0,3.48,5.76,2.52,221.0,7.35,,,0.687,0.235,
45,ekko,30,0.091,7.0,23.0,12.0,11,11,47.8,3.52,2.0,5.83,4.67,219.7,7.06,,,0.7290000000000001,0.275,
46,bard,30,0.091,13.0,17.0,7.0,5,5,29.4,1.0,2.71,9.82,4.0,45.65,1.28,,,0.821,0.076,
47,kindred,29,0.08800000000000001,12.0,17.0,7.0,10,10,58.8,3.76,2.47,6.12,4.0,209.88,6.42,12.2,373.0,0.675,0.257,0.21
48,galio,28,0.085,9.0,19.0,10.0,12,12,63.2,3.42,2.26,8.58,5.3,238.58,7.27,12.1,369.0,0.715,0.204,0.207
49,cassiopeia,27,0.08199999999999999,11.0,16.0,7.0,7,7,43.8,3.5,2.81,5.88,3.33,268.56,7.9,12.8,376.0,0.67,0.25,0.215
50,blitzcrank,27,0.08199999999999999,14.0,13.0,8.0,6,6,46.2,0.77,2.69,8.0,3.26,30.08,0.93,7.4,231.0,0.5589999999999999,0.049,0.132
51,ezreal,25,0.076,3.0,22.0,11.0,9,9,40.9,4.32,2.68,3.73,3.0,310.18,9.3,14.0,421.0,0.625,0.336,0.248
52,kennen,23,0.07,8.0,15.0,10.0,9,9,60.0,2.33,3.33,5.13,2.24,215.87,7.12,10.9,360.0,0.5379999999999999,0.168,0.20199999999999999
53,nidalee,19,0.057999999999999996,9.0,10.0,5.0,5,5,50.0,2.4,2.6,4.9,2.81,187.5,6.99,10.1,376.0,0.664,0.218,0.212
54,jayce,18,0.055,5.0,13.0,9.0,4,4,30.8,2.62,3.62,5.15,2.15,245.46,8.02,,,0.643,0.217,
55,morgana,18,0.055,11.0,7.0,5.0,3,3,42.9,0.43,2.57,6.0,2.5,33.57,0.93,8.1,226.0,0.672,0.045,0.131
56,diana,17,0.052000000000000005,7.0,10.0,7.0,5,5,50.0,2.5,3.0,5.5,2.67,259.4,8.16,12.2,383.0,0.602,0.188,0.217
57,taliyah,17,0.052000000000000005,7.0,10.0,7.0,4,4,40.0,3.3,3.0,6.9,3.4,204.6,6.6,10.9,350.0,0.6990000000000001,0.226,0.20800000000000002
58,orianna,16,0.048,4.0,12.0,5.0,6,6,50.0,3.58,2.67,6.67,3.84,258.83,8.08,12.4,387.0,0.6759999999999999,0.23600000000000002,0.21600000000000003
59,camille,16,0.048,6.0,10.0,4.0,3,3,30.0,3.9,3.8,3.7,2.0,287.8,8.51,14.0,413.0,0.5670000000000001,0.29100000000000004,0.237
60,fiora,16,0.048,10.0,6.0,3.0,5,5,83.3,5.5,2.17,4.17,4.46,259.0,8.68,13.4,451.0,0.604,0.344,0.24100000000000002
61,ryze,13,0.039,7.0,6.0,5.0,3,3,50.0,4.5,3.17,7.0,3.63,335.33,9.05,15.9,428.0,0.7040000000000001,0.276,0.24600000000000002
62,vladimir,12,0.036000000000000004,3.0,9.0,8.0,3,3,33.3,2.78,2.44,4.11,2.82,286.67,8.77,12.8,390.0,0.7559999999999999,0.305,0.23600000000000002
63,alistar,11,0.033,1.0,10.0,8.0,4,4,40.0,0.4,3.7,9.2,2.59,33.7,1.01,7.4,220.0,0.787,0.033,0.131
64,caitlyn,11,0.033,4.0,7.0,3.0,5,5,71.4,4.14,1.29,4.43,6.67,371.14,10.61,16.4,468.0,0.674,0.326,0.26
65,karma,11,0.033,4.0,7.0,5.0,3,3,42.9,1.43,2.86,7.86,3.25,127.14,4.19,8.7,288.0,0.6990000000000001,0.10800000000000001,0.17
66,xayah,10,0.03,3.0,7.0,5.0,2,2,28.6,2.57,2.57,4.71,2.83,347.29,9.89,15.0,427.0,0.593,0.209,0.248
67,jax,10,0.03,4.0,6.0,4.0,4,4,66.7,2.67,2.0,5.67,4.17,260.83,8.61,12.5,412.0,0.581,0.18600000000000003,0.225
68,graves,10,0.03,4.0,6.0,4.0,3,3,50.0,4.67,1.83,5.17,5.36,206.33,7.15,11.5,397.0,0.8190000000000001,0.389,0.23199999999999998
69,kled,10,0.03,5.0,5.0,3.0,4,4,80.0,3.6,1.8,6.6,5.67,219.8,8.38,11.5,437.0,0.637,0.225,0.228
70,malphite,9,0.027000000000000003,3.0,6.0,5.0,3,3,50.0,2.67,2.33,5.0,3.29,254.0,7.48,12.4,366.0,0.622,0.21600000000000003,0.21600000000000003
71,poppy,9,0.027000000000000003,4.0,5.0,5.0,3,3,60.0,0.8,2.8,4.6,1.93,216.4,6.43,10.5,313.0,0.45,0.067,0.18600000000000003
72,quinn,8,0.024,6.0,2.0,2.0,1,1,50.0,2.0,3.5,4.5,1.86,239.0,8.52,10.9,387.0,0.433,0.133,0.223
73,janna,7,0.021,,7.0,4.0,3,3,42.9,0.71,2.71,10.0,3.95,69.86,2.21,8.3,264.0,0.789,0.053,0.156
74,zilean,7,0.021,3.0,4.0,3.0,2,2,50.0,2.0,1.75,5.0,4.0,262.75,7.9,,,0.583,0.16699999999999998,
75,aurelion sol,7,0.021,4.0,3.0,1.0,2,2,66.7,3.33,1.0,9.67,13.0,236.67,7.5,11.8,375.0,0.83,0.213,0.213
76,nocturne,6,0.018000000000000002,2.0,4.0,3.0,1,1,25.0,1.25,3.75,5.5,1.8,226.5,6.9,,,0.614,0.114,
77,vayne,6,0.018000000000000002,3.0,3.0,3.0,2,2,66.7,5.0,2.67,3.0,3.0,229.33,8.65,12.2,458.0,0.706,0.441,0.264
78,viktor,5,0.015,1.0,4.0,3.0,3,3,75.0,4.75,1.0,4.25,9.0,293.0,9.09,13.5,419.0,0.735,0.38799999999999996,0.243
79,pyke,4,0.012,,4.0,2.0,1,1,25.0,4.25,4.0,5.5,2.44,58.25,1.79,10.5,321.0,0.684,0.298,0.185
80,yasuo,4,0.012,3.0,1.0,1.0,1,1,100.0,5.0,2.0,10.0,7.5,196.0,7.58,11.1,430.0,0.652,0.217,0.21600000000000003
81,zac,2,0.006,,2.0,2.0,2,2,100.0,1.5,1.5,13.5,10.0,208.0,5.09,12.8,312.0,0.7140000000000001,0.071,0.17300000000000001
82,ashe,2,0.006,,2.0,2.0,1,1,50.0,1.5,1.5,6.0,5.0,363.0,9.83,15.3,416.0,0.652,0.13,0.23199999999999998
83,karthus,2,0.006,1.0,1.0,1.0,1,1,100.0,3.0,3.0,11.0,4.67,286.0,6.87,16.0,384.0,0.875,0.188,0.20800000000000002
84,sivir,2,0.006,1.0,1.0,1.0,0,0,0.0,3.0,4.0,1.0,1.0,321.0,9.57,13.3,398.0,0.444,0.33299999999999996,0.248
85,jhin,1,0.003,,1.0,1.0,1,1,100.0,6.0,1.0,8.0,14.0,256.0,9.08,12.5,442.0,0.737,0.316,0.242
