,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.7,Blue,illaoi,sett,kalista,senna,trundle,varus,jarvaniv,missfortune,jayce,sejuani,tahmkench,ornn,braum,malphite,nautilus,morgana,sylas,sion
1,10.7,Blue,sett,leblanc,varus,trundle,senna,aphelios,kalista,sejuani,elise,thresh,irelia,akali,kassadin,zoe,azir,ekko,pantheon,aatrox
2,10.7,Blue,illaoi,sett,trundle,varus,kalista,aphelios,jarvaniv,ornn,akali,sejuani,nautilus,missfortune,volibear,ezreal,twitch,aatrox,alistar,leblanc
3,10.7,Red,ornn,sett,varus,elise,gragas,aphelios,kalista,taric,akali,braum,trundle,galio,sejuani,azir,rumble,reksai,sylas,zoe
4,10.7,Blue,yuumi,aphelios,taric,rumble,elise,sett,senna,trundle,tahmkench,varus,jayce,lucian,azir,kassadin,gnar,corki,vladimir,zoe
5,10.7,Blue,qiyana,aphelios,leblanc,senna,sett,kalista,missfortune,trundle,olaf,zoe,thresh,kennen,yuumi,aatrox,taric,bard,jayce,lucian
6,10.7,Red,sett,senna,sylas,qiyana,aphelios,kalista,olaf,varus,leblanc,leesin,taric,irelia,yuumi,tahmkench,thresh,braum,ornn,jayce
7,10.7,Red,qiyana,aphelios,olaf,senna,kalista,sett,missfortune,trundle,ezreal,sejuani,kassadin,yuumi,sylas,gnar,aatrox,corki,taric,rakan
8,10.7,Red,leblanc,elise,ornn,kalista,aphelios,varus,missfortune,trundle,graves,taric,irelia,akali,lucian,zoe,braum,kennen,rumble,azir
9,10.7,Blue,elise,azir,kalista,ornn,pantheon,varus,jayce,trundle,gragas,lucian,zoe,galio,taric,leblanc,sivir,akali,alistar,syndra
10,10.7,Blue,trundle,aphelios,jayce,senna,yuumi,kalista,sejuani,varus,ornn,reksai,braum,aatrox,sylas,sett,mordekaiser,azir,rakan,zilean
11,10.7,Red,zoe,trundle,leblanc,senna,varus,aphelios,kalista,sett,braum,jarvaniv,zilean,rakan,velkoz,azir,ornn,galio,shen,sylas
12,10.7,Red,trundle,aphelios,yuumi,senna,leblanc,kalista,sejuani,varus,sett,taric,jarvaniv,aatrox,elise,zilean,jayce,azir,sylas,velkoz
13,10.6,Blue,azir,sett,trundle,senna,kalista,varus,jarvaniv,missfortune,sejuani,taric,kayle,yuumi,camille,zoe,bard,gangplank,leblanc,sylas
