,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.6,Blue,syndra,senna,nautilus,ryze,tahmkench,aphelios,sett,zoe,aatrox,braum,trundle,rakan,zilean,taric,thresh,leesin,malzahar,varus
1,10.6,Blue,rumble,senna,kalista,aphelios,ornn,varus,pantheon,tahmkench,sett,zoe,olaf,leblanc,trundle,taliyah,viktor,braum,jarvaniv,renekton
2,10.6,Blue,trundle,tahmkench,senna,nautilus,rakan,sett,aatrox,missfortune,sejuani,syndra,ezreal,jarvaniv,varus,thresh,pantheon,braum,lucian,yuumi
3,10.6,Blue,syndra,senna,ornn,kalista,tahmkench,aphelios,missfortune,sett,nautilus,pantheon,renekton,sylas,viktor,leblanc,leona,aatrox,orianna,zoe
4,10.6,Blue,trundle,sett,ornn,xayah,senna,syndra,pantheon,varus,aatrox,aphelios,jarvaniv,rumble,reksai,taliyah,ekko,sejuani,tahmkench,braum
5,10.6,Red,syndra,xayah,pantheon,senna,gragas,ornn,tahmkench,varus,ashe,braum,zoe,jarvaniv,leblanc,cassiopeia,renekton,aatrox,elise,olaf
6,10.6,Blue,syndra,senna,tahmkench,kalista,ornn,aphelios,aatrox,varus,braum,pantheon,leblanc,thresh,renekton,cassiopeia,rakan,ryze,sett,viktor
7,10.6,Blue,syndra,senna,varus,rumble,xayah,aphelios,ezreal,sett,ornn,tahmkench,renekton,trundle,olaf,leblanc,sejuani,leesin,viktor,azir
8,10.6,Blue,rakan,varus,pantheon,senna,syndra,aphelios,missfortune,renekton,nautilus,zoe,aatrox,elise,kalista,jarvaniv,alistar,ornn,reksai,trundle
9,10.6,Red,kalista,senna,rumble,renekton,sett,ornn,aphelios,mordekaiser,pantheon,syndra,rakan,viktor,morgana,sejuani,olaf,ezreal,tahmkench,orianna
10,10.6,Red,sett,senna,ornn,pantheon,syndra,renekton,aatrox,varus,ezreal,tahmkench,elise,yuumi,gragas,karma,ziggs,corki,sejuani,sylas
11,10.6,Blue,ornn,senna,tahmkench,pantheon,leblanc,rakan,kalista,taric,syndra,xayah,olaf,gragas,elise,jarvaniv,reksai,aatrox,trundle,renekton
12,10.6,Blue,leblanc,kalista,pantheon,senna,tahmkench,aphelios,nautilus,renekton,gragas,quinn,thresh,ekko,braum,ryze,leesin,ornn,shen,kayle
13,10.6,Red,kalista,sett,renekton,syndra,leblanc,aatrox,aphelios,nautilus,tahmkench,varus,zilean,gragas,kindred,zoe,trundle,azir,jarvaniv,viktor
14,10.5,Blue,rumble,senna,kalista,sett,pantheon,aphelios,nautilus,syndra,aatrox,tahmkench,leblanc,orianna,olaf,missfortune,gragas,leesin,ryze,qiyana
15,10.5,Blue,syndra,senna,gangplank,sett,pantheon,aphelios,missfortune,ornn,aatrox,trundle,leblanc,viktor,thresh,corki,braum,nautilus,orianna,ahri
16,10.5,Blue,kalista,sett,syndra,aphelios,aatrox,ornn,gangplank,xayah,jarvaniv,rakan,rumble,leblanc,missfortune,thresh,nautilus,ezreal,orianna,diana
17,10.5,Red,sett,senna,kalista,karthus,pantheon,rumble,aphelios,gragas,tahmkench,varus,sejuani,thresh,renekton,ornn,bard,jayce,reksai,yasuo
18,10.5,Red,ornn,senna,taric,aphelios,sett,varus,rakan,xayah,syndra,tahmkench,reksai,leesin,sejuani,jarvaniv,gragas,elise,renekton,gangplank
19,10.5,Blue,ornn,senna,tahmkench,pantheon,syndra,sett,aatrox,missfortune,rakan,xayah,karthus,leblanc,jarvaniv,qiyana,trundle,gragas,viktor,cassiopeia
20,10.5,Blue,syndra,senna,tahmkench,kalista,aphelios,rumble,missfortune,ornn,pantheon,thresh,varus,olaf,taliyah,sylas,irelia,fiora,kaisa,karthus
21,10.5,Red,senna,ornn,yuumi,sett,xayah,varus,aatrox,tahmkench,braum,mordekaiser,reksai,gragas,syndra,pantheon,leesin,cassiopeia,trundle,leblanc
22,10.5,Blue,olaf,senna,xayah,pantheon,renekton,gragas,aphelios,ornn,syndra,yasuo,irelia,reksai,nautilus,yuumi,trundle,kalista,thresh,tahmkench
