,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.6,Blue,pantheon,riven,heimerdinger,ekko,leesin,aatrox,leblanc,ornn,shyvana,zed,nasus,camille,illaoi,zyra,quinn,bard,swain,annie
1,10.6,Red,kalista,pantheon,leesin,aphelios,senna,shen,gragas,thresh,evelynn,graves,rakan,gangplank,sett,renekton,varus,jarvaniv,jhin,sion
2,10.6,Red,kalista,karthus,senna,gangplank,gragas,aphelios,leesin,syndra,nautilus,ornn,aatrox,missfortune,olaf,rakan,sett,elise,gnar,maokai
3,10.6,Red,gragas,kalista,ornn,syndra,ziggs,aphelios,missfortune,nautilus,braum,pantheon,leblanc,renekton,ekko,gangplank,azir,corki,irelia,jax
4,10.6,Blue,pantheon,senna,gragas,ornn,karthus,varus,ezreal,rakan,gangplank,thresh,trundle,syndra,ivern,renekton,sett,kindred,leblanc,corki
5,10.6,Blue,kalista,pantheon,irelia,ornn,senna,syndra,gragas,thresh,olaf,sett,ezreal,leblanc,gangplank,rumble,aatrox,rakan,xayah,zoe
6,10.6,Red,gragas,senna,nautilus,kalista,ornn,aphelios,karthus,renekton,pantheon,tahmkench,gangplank,yuumi,taliyah,pyke,rakan,corki,rumble,sylas
7,10.6,Blue,aphelios,pantheon,gragas,karthus,ornn,senna,leesin,ziggs,kalista,reksai,leblanc,corki,sett,maokai,azir,akali,galio,jayce
8,10.6,Blue,kalista,pantheon,ornn,aphelios,senna,sejuani,missfortune,renekton,nautilus,sett,irelia,taric,kaisa,syndra,braum,azir,ezreal,viktor
9,10.6,Red,ornn,syndra,pantheon,senna,ezreal,aphelios,leesin,varus,irelia,sejuani,azir,cassiopeia,braum,nan,thresh,maokai,sett,leblanc
10,10.5,Blue,kalista,pantheon,irelia,aphelios,syndra,ornn,rakan,xayah,ezreal,gragas,thresh,azir,yuumi,aatrox,vladimir,cassiopeia,sett,viktor
11,10.5,Blue,aphelios,syndra,renekton,kalista,ornn,pantheon,tahmkench,varus,bard,neeko,gangplank,irelia,sylas,cassiopeia,zoe,qiyana,ziggs,malphite
12,10.5,Red,olaf,sejuani,ornn,senna,leblanc,missfortune,gragas,kalista,jarvaniv,nautilus,gangplank,irelia,azir,pantheon,aatrox,camille,orianna,qiyana
13,10.5,Red,gangplank,senna,syndra,aphelios,ornn,gragas,missfortune,nautilus,tahmkench,varus,yasuo,jayce,irelia,gnar,maokai,camille,pantheon,renekton
14,10.5,Blue,viktor,aatrox,kalista,aphelios,senna,missfortune,ezreal,leesin,gragas,thresh,yasuo,yuumi,sett,lucian,blitzcrank,corki,jayce,sion
15,10.5,Blue,kalista,nautilus,rakan,karthus,senna,aphelios,gragas,missfortune,ornn,sylas,aatrox,blitzcrank,tahmkench,thresh,leona,braum,renekton,olaf
16,10.5,Blue,irelia,senna,aphelios,syndra,ornn,pantheon,aatrox,sejuani,taliyah,thresh,renekton,morgana,jayce,blitzcrank,nautilus,corki,sett,ekko
17,10.5,Red,rakan,senna,missfortune,aphelios,sett,ornn,gragas,pantheon,karthus,renekton,tahmkench,ezreal,nautilus,braum,thresh,blitzcrank,draven,kaisa
18,10.5,Red,aatrox,senna,syndra,karthus,sett,ornn,aphelios,nautilus,gragas,varus,tahmkench,sylas,thresh,vladimir,maokai,galio,gangplank,azir
19,10.5,Blue,karthus,leblanc,sejuani,syndra,ornn,senna,gragas,tahmkench,olaf,trundle,azir,pantheon,renekton,irelia,sett,gnar,zoe,viktor
20,10.4,Red,syndra,ornn,senna,pantheon,karthus,gragas,ezreal,olaf,rakan,sett,tristana,aatrox,xayah,kled,janna,kaisa,yasuo,akali
21,10.4,Blue,sett,ornn,senna,karthus,gangplank,aphelios,leesin,missfortune,nautilus,zac,leblanc,syndra,camille,aatrox,mordekaiser,corki,renekton,azir
22,10.4,Blue,leblanc,ornn,gangplank,senna,azir,syndra,aphelios,gragas,sejuani,sett,rakan,lucian,taric,cassiopeia,braum,nautilus,tristana,viktor
23,10.4,Blue,viktor,ornn,rakan,senna,diana,aphelios,gragas,thresh,nautilus,sejuani,renekton,kalista,aatrox,missfortune,varus,gangplank,syndra,leblanc
24,10.4,Red,rakan,karthus,syndra,ornn,leblanc,aphelios,gragas,missfortune,gangplank,pantheon,braum,cassiopeia,tahmkench,irelia,nautilus,diana,thresh,sett
25,10.4,Red,syndra,ornn,senna,karthus,pantheon,aphelios,ezreal,leesin,gangplank,nautilus,corki,vladimir,leblanc,akali,braum,orianna,zac,ekko
26,10.4,Red,sett,ornn,gangplank,karthus,rakan,senna,aphelios,sejuani,gragas,renekton,tahmkench,azir,taric,corki,aatrox,galio,pantheon,akali
27,10.4,Red,syndra,senna,rakan,ornn,pantheon,aphelios,gragas,missfortune,leblanc,leesin,sett,cassiopeia,thresh,ryze,lulu,braum,karma,zac
28,10.4,Red,leblanc,ornn,gangplank,syndra,senna,aphelios,karthus,missfortune,aatrox,gragas,thresh,rakan,taric,tristana,braum,azir,nautilus,corki
29,10.4,Red,pantheon,senna,aatrox,ornn,aphelios,syndra,gragas,sett,leesin,renekton,cassiopeia,yasuo,braum,lucian,kalista,rakan,xayah,azir
30,10.4,Blue,sett,pantheon,aphelios,syndra,karthus,senna,leesin,ornn,akali,reksai,tahmkench,thresh,jarvaniv,leblanc,rakan,taric,vladimir,ryze
31,10.4,Red,gangplank,syndra,nautilus,senna,rakan,ornn,aphelios,gragas,ezreal,yuumi,olaf,yasuo,kled,aatrox,renekton,leblanc,leesin,corki
32,10.4,Blue,gragas,pantheon,senna,ornn,sejuani,aphelios,rakan,xayah,leesin,tahmkench,gangplank,leblanc,veigar,aatrox,azir,diana,sett,mordekaiser
33,10.4,Red,gangplank,ornn,rakan,senna,syndra,sett,aphelios,renekton,kalista,taric,azir,elise,gragas,pantheon,karthus,olaf,zoe,tristana
34,10.4,Red,gragas,ornn,rakan,karthus,aphelios,senna,sejuani,tahmkench,gangplank,trundle,galio,leblanc,syndra,irelia,varus,cassiopeia,ezreal,lucian
35,10.4,Blue,ezreal,ornn,karthus,syndra,aphelios,pantheon,rakan,xayah,taliyah,thresh,missfortune,gangplank,aatrox,orianna,sejuani,gnar,zoe,kennen
36,10.4,Red,karthus,rakan,gragas,senna,gangplank,syndra,nautilus,sejuani,aphelios,jarvaniv,thresh,ezreal,camille,leblanc,tristana,braum,poppy,yuumi
37,10.4,Red,karthus,gragas,syndra,senna,ornn,pantheon,aphelios,gangplank,rakan,xayah,taliyah,jarvaniv,vladimir,leesin,reksai,azir,sett,veigar
38,10.4,Red,leblanc,ornn,sett,senna,syndra,aphelios,leesin,missfortune,braum,sejuani,lucian,diana,qiyana,vladimir,azir,gangplank,ziggs,zac
39,10.4,Blue,gangplank,syndra,rakan,aphelios,nautilus,senna,aatrox,ezreal,kled,tahmkench,leblanc,yuumi,tristana,sejuani,karma,ekko,leesin,zac
40,10.3,Red,rakan,gragas,sett,karthus,braum,soraka,aphelios,ornn,missfortune,nautilus,aatrox,cassiopeia,olaf,leona,thresh,reksai,ryze,taliyah
41,10.3,Blue,gragas,rakan,syndra,soraka,qiyana,leblanc,aatrox,missfortune,leesin,sett,ezreal,diana,aphelios,thresh,sylas,kalista,taric,nautilus
42,10.3,Blue,ornn,soraka,rakan,syndra,nautilus,yuumi,missfortune,sett,aatrox,ezreal,olaf,leona,sejuani,leblanc,pyke,azir,jarvaniv,zoe
43,10.3,Blue,sett,soraka,aphelios,syndra,nautilus,ornn,aatrox,missfortune,rakan,xayah,leblanc,azir,olaf,ryze,sejuani,gangplank,karthus,viktor
44,10.3,Blue,karthus,aphelios,yuumi,soraka,rakan,sett,aatrox,missfortune,braum,ezreal,olaf,thresh,leblanc,syndra,nautilus,gragas,ryze,azir
45,10.3,Red,pantheon,soraka,aphelios,gragas,yuumi,syndra,ornn,rakan,leesin,xayah,thresh,gangplank,nautilus,karthus,reksai,kled,leona,zac
46,10.3,Blue,yuumi,aphelios,rakan,gragas,soraka,ornn,karthus,sett,missfortune,nautilus,lucian,braum,elise,leona,tahmkench,gangplank,nidalee,vladimir
47,10.3,Blue,ezreal,syndra,rakan,soraka,jarvaniv,missfortune,gragas,varus,karthus,ornn,pantheon,yasuo,qiyana,braum,nautilus,aatrox,leona,vayne
48,10.3,Red,gragas,yuumi,leblanc,soraka,sett,ornn,aatrox,aphelios,leesin,zoe,thresh,sejuani,rakan,jarvaniv,reksai,kaisa,nautilus,viktor
49,10.3,Red,xayah,soraka,ornn,leblanc,gragas,gangplank,aphelios,sett,leesin,missfortune,zoe,diana,yuumi,qiyana,braum,rakan,ryze,azir
50,10.3,Red,leblanc,yuumi,soraka,gragas,syndra,aphelios,leesin,missfortune,elise,sett,thresh,cassiopeia,pantheon,bard,rakan,nautilus,ryze,zoe
51,10.3,Blue,pantheon,karthus,syndra,gangplank,yuumi,soraka,jarvaniv,missfortune,gragas,nautilus,qiyana,rumble,yasuo,ryze,aatrox,camille,kaisa,azir
52,10.3,Red,xayah,soraka,jarvaniv,syndra,missfortune,aphelios,ezreal,gragas,leesin,nautilus,irelia,braum,gangplank,thresh,rakan,ornn,ryze,cassiopeia
53,10.3,Blue,karthus,leblanc,soraka,syndra,yuumi,aphelios,gragas,sett,aatrox,braum,azir,yasuo,cassiopeia,rakan,tahmkench,leesin,ryze,viktor
54,10.3,Red,yuumi,soraka,gragas,syndra,xayah,sett,aatrox,aphelios,elise,ezreal,zoe,irelia,rakan,braum,thresh,cassiopeia,pyke,leblanc
55,10.3,Red,pantheon,soraka,yuumi,syndra,jarvaniv,aphelios,sett,xayah,gragas,yasuo,aatrox,elise,nautilus,gangplank,ekko,braum,sona,azir
56,10.3,Red,olaf,syndra,leblanc,yuumi,soraka,sett,aphelios,gragas,rakan,xayah,cassiopeia,thresh,jarvaniv,nautilus,tahmkench,sejuani,zoe,tristana
57,10.3,Red,yuumi,aphelios,gragas,syndra,aatrox,sett,leesin,missfortune,reksai,zoe,xayah,leblanc,ezreal,thresh,cassiopeia,kaisa,nautilus,rakan
58,10.3,Blue,jarvaniv,aphelios,nautilus,pantheon,gragas,yuumi,missfortune,sett,aatrox,ezreal,soraka,gangplank,olaf,qiyana,leona,sejuani,zoe,kassadin
59,10.3,Blue,rakan,gragas,jarvaniv,syndra,soraka,aphelios,leblanc,yuumi,gangplank,leona,ryze,leesin,elise,olaf,reksai,karthus,ornn,chogath
60,10.2,Blue,sett,akali,ornn,syndra,gragas,senna,aphelios,leesin,aatrox,elise,qiyana,cassiopeia,lucian,thresh,nautilus,braum,ryze,veigar
61,10.2,Blue,soraka,akali,syndra,leesin,jarvaniv,gragas,aphelios,elise,rakan,xayah,pantheon,nautilus,leblanc,camille,thresh,aatrox,diana,mordekaiser
62,10.2,Red,missfortune,akali,aphelios,olaf,senna,jarvaniv,gragas,kaisa,draven,nautilus,aatrox,qiyana,rumble,pantheon,leblanc,lissandra,sett,soraka
63,10.2,Blue,sett,akali,senna,pantheon,gragas,aphelios,leblanc,leesin,lissandra,reksai,rumble,missfortune,ornn,rakan,braum,chogath,thresh,varus
64,10.2,Red,aphelios,akali,soraka,sett,syndra,missfortune,leesin,senna,reksai,rumble,cassiopeia,braum,gangplank,tahmkench,nautilus,aatrox,thresh,mordekaiser
65,10.2,Red,elise,akali,thresh,jarvaniv,syndra,senna,aphelios,gragas,leblanc,leesin,irelia,lucian,braum,yasuo,nautilus,aatrox,tahmkench,sett
66,10.2,Red,soraka,akali,elise,sett,jarvaniv,gragas,leesin,senna,aphelios,nautilus,yasuo,leblanc,qiyana,gangplank,syndra,aatrox,zoe,camille
67,10.2,Blue,pantheon,akali,xayah,sett,gragas,syndra,jarvaniv,senna,missfortune,thresh,aatrox,rumble,leesin,nautilus,tahmkench,olaf,urgot,leblanc
68,10.2,Red,aphelios,akali,gragas,soraka,syndra,jarvaniv,leesin,senna,missfortune,nautilus,rumble,leblanc,cassiopeia,gangplank,diana,mordekaiser,zoe,aatrox
69,10.2,Blue,jarvaniv,akali,gragas,syndra,qiyana,missfortune,aphelios,elise,leblanc,leesin,rakan,soraka,thresh,renekton,braum,bard,gangplank,diana
70,10.2,Blue,jarvaniv,akali,gragas,syndra,qiyana,senna,rakan,xayah,leblanc,leesin,morgana,lissandra,aatrox,ryze,sylas,soraka,thresh,rumble
71,10.2,Red,sett,akali,syndra,gragas,aphelios,pantheon,elise,senna,missfortune,taliyah,leona,tahmkench,thresh,aatrox,nautilus,braum,gangplank,rengar
72,10.2,Blue,cassiopeia,olaf,sett,akali,aphelios,senna,elise,pantheon,braum,jarvaniv,mordekaiser,xayah,diana,missfortune,ezreal,azir,ornn,camille
73,10.2,Red,aphelios,akali,jarvaniv,xayah,syndra,gragas,elise,missfortune,braum,senna,pantheon,thresh,renekton,leona,rakan,aatrox,leblanc,rumble
74,10.2,Red,senna,pantheon,gragas,akali,syndra,jarvaniv,aphelios,leesin,rakan,xayah,rumble,vladimir,ornn,lissandra,leblanc,morgana,sett,gangplank
75,10.2,Red,rakan,akali,aphelios,rumble,pantheon,senna,gragas,missfortune,braum,jarvaniv,kennen,leona,karma,diana,thresh,aatrox,leblanc,cassiopeia
76,10.2,Blue,mordekaiser,akali,senna,sett,jarvaniv,gragas,aphelios,elise,rakan,xayah,yasuo,lucian,leblanc,aatrox,ornn,gangplank,pantheon,ryze
77,10.2,Red,jarvaniv,akali,syndra,sett,qiyana,senna,aphelios,elise,braum,gragas,cassiopeia,gangplank,aatrox,irelia,thresh,ornn,yasuo,soraka
78,10.2,Red,lucian,akali,syndra,aphelios,rumble,missfortune,braum,gragas,jarvaniv,ornn,leona,cassiopeia,diana,leblanc,sett,rakan,zoe,qiyana
79,10.2,Blue,qiyana,akali,aphelios,senna,xayah,syndra,missfortune,sett,gragas,nautilus,yasuo,elise,lucian,jarvaniv,olaf,aatrox,tristana,azir
80,10.1,Red,lucian,akali,senna,pantheon,qiyana,missfortune,leesin,xayah,jarvaniv,ornn,thresh,leblanc,nautilus,diana,aatrox,cassiopeia,leona,zoe
81,10.1,Blue,lucian,akali,rumble,pantheon,gangplank,aphelios,leona,missfortune,braum,gragas,veigar,leblanc,yasuo,jax,orianna,aatrox,diana,nocturne
82,10.1,Blue,rumble,akali,xayah,aphelios,jarvaniv,gragas,braum,elise,nautilus,senna,yasuo,pantheon,gangplank,ornn,renekton,gnar,leblanc,ryze
83,10.1,Red,rakan,akali,qiyana,lucian,thresh,aphelios,senna,tahmkench,nautilus,ornn,gragas,leblanc,leesin,jarvaniv,olaf,pantheon,taliyah,vladimir
84,10.1,Red,irelia,akali,pantheon,qiyana,ornn,rumble,jarvaniv,missfortune,braum,varus,leesin,leblanc,olaf,sylas,mordekaiser,cassiopeia,reksai,zoe
85,10.1,Red,lucian,akali,mordekaiser,pantheon,jarvaniv,aphelios,gragas,rakan,braum,diana,olaf,ornn,aatrox,yasuo,gangplank,qiyana,swain,leblanc
