,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.7,Blue,azir,senna,jayce,sett,varus,pantheon,ezreal,yuumi,leona,taliyah,renekton,nan,nan,nan,elise,ornn,tristana,qiyana
1,10.7,Red,gragas,aphelios,trundle,taric,kalista,sett,missfortune,ornn,azir,kindred,braum,leesin,thresh,graves,rakan,fiddlesticks,pyke,nocturne
2,10.7,Red,ekko,syndra,jayce,yasuo,varus,ornn,kalista,sett,aphelios,tahmkench,gragas,taric,kindred,rakan,bard,azir,leesin,veigar
3,10.7,Red,kalista,kindred,missfortune,aphelios,senna,pantheon,ornn,xayah,aatrox,elise,leona,rumble,tahmkench,jarvaniv,olaf,kaisa,taric,leblanc
4,10.7,Blue,syndra,senna,pantheon,aatrox,gragas,ornn,sett,varus,rakan,xayah,zilean,leblanc,zoe,tristana,azir,corki,leesin,trundle
5,10.7,Blue,elise,missfortune,taric,kalista,sett,trundle,ornn,senna,azir,varus,karma,leblanc,morgana,zoe,jarvaniv,bard,gangplank,corki
6,10.7,Blue,kalista,aphelios,pantheon,senna,sett,varus,ezreal,gragas,aatrox,zoe,rakan,camille,olaf,yasuo,irelia,leesin,thresh,syndra
7,10.7,Blue,taric,syndra,azir,aphelios,senna,sett,kindred,ornn,gragas,yasuo,varus,xayah,kalista,olaf,leesin,alistar,tristana,zoe
8,10.7,Blue,ornn,senna,sett,aphelios,kassadin,missfortune,nautilus,varus,trundle,zoe,gangplank,leblanc,aatrox,maokai,zilean,braum,jayce,rumble
9,10.7,Red,ornn,senna,syndra,kalista,yuumi,aphelios,gragas,varus,azir,braum,olaf,rakan,trundle,nautilus,bard,aatrox,leesin,malphite
10,10.7,Blue,azir,ornn,sett,aphelios,jarvaniv,pantheon,gragas,yasuo,kalista,taliyah,renekton,varus,akali,nautilus,zoe,leona,malphite,sylas
11,10.7,Blue,nan,senna,yuumi,aphelios,pantheon,ornn,kalista,taric,kaisa,rakan,kindred,sylas,camille,sett,renekton,leesin,zoe,kassadin
12,10.7,Blue,azir,pantheon,jarvaniv,sett,taric,senna,trundle,varus,kindred,ornn,galio,leblanc,tahmkench,karma,thresh,rumble,syndra,zoe
13,10.7,Blue,renekton,kalista,ziggs,aphelios,syndra,senna,kindred,taric,azir,tahmkench,trundle,ornn,gragas,sejuani,jarvaniv,ekko,gangplank,rumble
14,10.7,Red,yuumi,taric,pantheon,senna,kindred,aphelios,ornn,syndra,jarvaniv,sylas,braum,trundle,nautilus,graves,leesin,azir,blitzcrank,missfortune
15,10.7,Red,kalista,pantheon,trundle,aphelios,kindred,sett,gragas,missfortune,sejuani,zilean,irelia,ornn,tahmkench,nautilus,yuumi,jhin,pyke,veigar
16,10.7,Blue,kalista,aphelios,missfortune,sett,senna,taric,nautilus,trundle,azir,kindred,leesin,leblanc,reksai,zoe,syndra,jarvaniv,ornn,aatrox
17,10.7,Blue,ziggs,aphelios,pantheon,sett,tristana,senna,ornn,trundle,aatrox,tahmkench,graves,corki,syndra,varus,kindred,leesin,sylas,velkoz
18,10.6,Blue,zoe,kalista,graves,wukong,karthus,aphelios,sett,varus,azir,trundle,renekton,syndra,gangplank,akali,corki,braum,ornn,taric
19,10.6,Blue,irelia,aphelios,jarvaniv,wukong,pantheon,sett,elise,missfortune,jhin,leesin,leblanc,gangplank,kassadin,ornn,thresh,nautilus,zoe,fiora
20,10.6,Blue,jarvaniv,aphelios,renekton,senna,azir,kalista,nautilus,ornn,sett,trundle,leblanc,gragas,taric,elise,leesin,leona,syndra,zoe
21,10.6,Red,syndra,wukong,kalista,senna,sett,aphelios,ornn,trundle,gangplank,sylas,braum,leblanc,nautilus,kassadin,thresh,orianna,tahmkench,azir
22,10.6,Red,kalista,renekton,sett,senna,aphelios,ornn,missfortune,trundle,ezreal,gragas,yasuo,kassadin,yuumi,leona,nautilus,syndra,taric,azir
23,10.6,Red,senna,pantheon,wukong,aphelios,ornn,sett,missfortune,renekton,jarvaniv,varus,rumble,leblanc,azir,akali,nautilus,tahmkench,zoe,kassadin
24,10.6,Red,senna,zoe,elise,jarvaniv,yuumi,wukong,aphelios,ornn,ezreal,trundle,leblanc,leesin,azir,gragas,reksai,braum,corki,thresh
25,10.6,Blue,wukong,aphelios,gragas,senna,trundle,ornn,missfortune,sett,syndra,thresh,kindred,irelia,jarvaniv,braum,yuumi,leesin,tristana,azir
26,10.6,Blue,varus,kalista,wukong,senna,gragas,aphelios,rakan,sett,syndra,tahmkench,gangplank,leblanc,renekton,zoe,jarvaniv,rumble,sejuani,velkoz
27,10.6,Red,pantheon,wukong,yuumi,senna,irelia,aphelios,jarvaniv,varus,leesin,ornn,tahmkench,nan,leblanc,azir,fiora,renekton,thresh,cassiopeia
28,10.6,Blue,wukong,senna,jarvaniv,ornn,ezreal,aphelios,renekton,varus,sett,zoe,yuumi,sejuani,taric,gragas,ziggs,nautilus,trundle,leesin
29,10.6,Red,zoe,senna,azir,aphelios,ornn,sett,missfortune,trundle,ezreal,yuumi,jarvaniv,maokai,syndra,aatrox,renekton,gnar,neeko,viktor
30,10.6,Blue,elise,ekko,leesin,aphelios,sett,wukong,ornn,senna,karma,varus,zoe,reksai,rumble,jarvaniv,sejuani,gragas,syndra,leblanc
31,10.6,Red,kalista,pantheon,wukong,irelia,senna,sett,aphelios,ornn,olaf,yuumi,ezreal,jarvaniv,missfortune,karthus,leesin,azir,camille,leblanc
32,10.6,Blue,syndra,aphelios,jarvaniv,ornn,kalista,sejuani,trundle,varus,ezreal,wukong,yuumi,azir,braum,leblanc,zoe,karma,ziggs,sett
33,10.6,Blue,syndra,senna,kalista,aphelios,wukong,sett,jarvaniv,missfortune,graves,kaisa,zoe,aatrox,leblanc,braum,leona,azir,maokai,renekton
34,10.4,Blue,elise,ornn,zoe,aphelios,yuumi,missfortune,jarvaniv,sett,ekko,gangplank,rumble,alistar,velkoz,azir,taric,braum,syndra,corki
35,10.4,Blue,pantheon,ornn,zoe,senna,lucian,aphelios,missfortune,sett,nautilus,renekton,sejuani,cassiopeia,taliyah,ryze,azir,gragas,ziggs,thresh
36,10.4,Blue,lucian,aphelios,elise,ornn,leblanc,senna,missfortune,sett,sejuani,tahmkench,gangplank,olaf,syndra,leesin,trundle,aatrox,zoe,kassadin
