,patch,winside,BB1,RB1,BB2,RB2,BB3,BP1,RP1,RP2,BP2,BP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5
0,10.6,Blue,mordekaiser,zoe,aatrox,trundle,kalista,aphelios,missfortune,renekton,braum,ornn,olaf,vladimir,leesin,sett,rakan,reksai,syndra,azir
1,10.6,Red,zoe,aphelios,trundle,kalista,sett,varus,aatrox,thresh,leesin,mordekaiser,braum,reksai,tahmkench,olaf,gragas,blitzcrank,rumble,sylas
2,10.6,Blue,azir,pantheon,cassiopeia,thresh,aphelios,jarvaniv,taric,trundle,galio,renekton,xayah,ornn,missfortune,wukong,varus,ashe,nautilus,mordekaiser
3,10.6,Red,pantheon,azir,thresh,aphelios,sett,trundle,jarvaniv,varus,missfortune,taric,cassiopeia,wukong,leblanc,ornn,renekton,kled,mordekaiser,nautilus
4,10.6,Red,azir,pantheon,zoe,thresh,aphelios,varus,taric,trundle,kindred,rumble,sett,leblanc,braum,sylas,cassiopeia,leona,ornn,mordekaiser
5,10.6,Blue,jarvaniv,sett,ornn,thresh,aphelios,wukong,elise,kalista,leona,missfortune,zoe,renekton,galio,kassadin,pantheon,azir,leesin,hecarim
6,10.6,Blue,zoe,jarvaniv,sett,wukong,thresh,senna,renekton,varus,nautilus,ornn,kindred,syndra,graves,leblanc,morgana,corki,leesin,sylas
7,10.6,Blue,jarvaniv,kalista,wukong,sett,aphelios,varus,missfortune,ornn,thresh,zoe,olaf,azir,elise,irelia,reksai,renekton,trundle,syndra
8,10.6,Blue,wukong,senna,jarvaniv,lucian,trundle,kalista,aphelios,ornn,leesin,syndra,taric,reksai,ezreal,olaf,xinzhao,thresh,varus,braum
9,10.6,Blue,wukong,senna,jarvaniv,lucian,trundle,kalista,aatrox,aphelios,leesin,syndra,taric,leblanc,thresh,rumble,zoe,braum,ezreal,rakan
10,10.6,Red,wukong,senna,jarvaniv,lucian,trundle,kalista,aatrox,aphelios,syndra,taric,olaf,bard,leesin,leblanc,braum,jayce,sejuani,zoe
11,10.6,Blue,azir,pantheon,mordekaiser,kalista,varus,aphelios,missfortune,sett,thresh,trundle,ornn,ekko,rumble,irelia,nautilus,aatrox,galio,corki
