,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
0,kiin,46,19,19,41.3,2.13,2.8,4.76,2.46,288.37,8.24,13300.0,380.0,0.647,0.2,0.22699999999999998,16
1,jelly,44,19,19,43.2,0.93,2.75,6.41,2.67,42.27,1.2,8000.0,229.0,0.684,0.087,0.136,11
2,mystic,42,18,18,42.9,3.4,2.64,4.1,2.84,315.31,9.23,14300.0,419.0,0.691,0.314,0.249,13
3,spirit,33,15,15,45.5,2.06,2.36,6.3,3.54,175.55,4.99,10800.0,306.0,0.7340000000000001,0.18100000000000002,0.182,10
4,fly,33,13,13,39.4,2.09,2.52,5.06,2.84,257.64,7.19,12200.0,340.0,0.669,0.195,0.205,14
5,all in,13,6,6,46.2,3.31,1.54,3.38,4.35,265.69,8.09,12200.0,371.0,0.635,0.314,0.21899999999999997,8
6,dread,13,4,4,30.8,1.31,2.85,4.77,2.14,163.92,4.74,9900.0,286.0,0.693,0.149,0.174,6
7,ss,4,1,1,25.0,2.75,1.75,1.75,2.57,386.75,8.81,16800.0,382.0,0.529,0.324,0.243,2
8,ben,2,0,0,0.0,0.0,4.5,3.0,0.67,23.5,0.75,6200.0,197.0,0.33299999999999996,0.0,0.127,2
9,flawless,43,17,17,39.5,2.12,3.02,5.44,2.5,174.84,5.08,10700.0,311.0,0.69,0.193,0.185,9
10,ikssu,43,17,17,39.5,1.95,3.23,4.93,2.13,233.95,6.79,11500.0,335.0,0.628,0.17800000000000002,0.19899999999999998,11
11,secret,39,15,15,38.5,0.31,3.26,7.28,2.33,34.28,1.01,7400.0,218.0,0.705,0.028999999999999998,0.13,10
12,hybrid,37,16,16,43.2,4.89,2.3,3.32,3.58,345.38,10.02,15600.0,453.0,0.71,0.423,0.267,9
13,cover,25,13,13,52.0,2.2,3.0,4.96,2.39,300.4,8.64,13400.0,386.0,0.5760000000000001,0.177,0.223,6
14,keine,18,4,4,22.2,1.72,2.28,3.39,2.24,285.89,8.4,12100.0,356.0,0.575,0.19399999999999998,0.222,8
15,trigger,6,1,1,16.7,1.83,2.67,2.17,1.5,282.33,8.25,12500.0,365.0,0.5579999999999999,0.256,0.23,4
16,mia,4,2,2,50.0,1.5,2.75,6.25,2.82,49.0,1.21,9700.0,241.0,0.608,0.11800000000000001,0.14,3
17,canyon,43,22,22,51.2,1.49,2.33,6.26,3.33,177.02,5.28,10400.0,310.0,0.674,0.13,0.174,10
18,nuguri,43,22,22,51.2,2.98,3.19,4.56,2.36,290.65,8.67,13700.0,410.0,0.6559999999999999,0.259,0.23,17
19,showmaker,43,22,22,51.2,2.93,1.65,5.12,4.87,291.19,8.69,13300.0,397.0,0.7,0.255,0.223,16
20,beryl,30,17,17,56.7,0.7,2.47,8.03,3.54,68.17,2.02,8400.0,248.0,0.6890000000000001,0.055,0.138,13
21,nuclear,26,11,11,42.3,2.77,1.73,3.77,3.78,307.54,9.28,13700.0,413.0,0.644,0.273,0.23600000000000002,9
22,ghost,17,11,11,64.7,4.53,2.0,4.88,4.71,306.18,8.97,15000.0,440.0,0.696,0.335,0.24,7
23,hoit,13,5,5,38.5,0.46,2.15,5.38,2.71,36.0,1.09,7400.0,224.0,0.667,0.053,0.128,6
24,chovy,46,31,31,67.4,3.2,1.48,5.02,5.56,305.13,9.32,13400.0,410.0,0.624,0.243,0.226,20
25,deft,46,31,31,67.4,4.26,1.74,4.89,5.26,321.43,9.82,14600.0,447.0,0.695,0.32299999999999995,0.247,10
26,keria,46,31,31,67.4,0.7,2.07,9.13,4.76,38.91,1.19,7900.0,241.0,0.746,0.053,0.133,17
27,pyosik,46,31,31,67.4,2.61,1.83,6.93,5.23,184.91,5.65,10900.0,334.0,0.7240000000000001,0.198,0.184,12
28,doran,43,29,29,67.4,2.23,2.23,5.53,3.48,268.07,8.23,12400.0,380.0,0.59,0.17,0.209,13
29,quad,3,2,2,66.7,5.0,1.67,4.67,5.8,272.67,7.8,13500.0,385.0,0.725,0.375,0.217,2
30,bdd,44,31,31,70.5,3.36,1.36,5.82,6.73,280.11,8.35,13100.0,391.0,0.7440000000000001,0.273,0.22,14
31,clid,44,31,31,70.5,2.23,1.77,6.77,5.08,182.09,5.43,11000.0,328.0,0.7290000000000001,0.18,0.184,9
32,rascal,44,31,31,70.5,2.34,1.86,5.11,4.0,272.84,8.13,12700.0,380.0,0.604,0.19,0.213,13
33,ruler,44,31,31,70.5,3.89,1.18,4.39,7.0,322.39,9.61,14900.0,444.0,0.67,0.315,0.25,8
34,life,30,22,22,73.3,0.7,1.67,8.53,5.54,58.47,1.74,8300.0,247.0,0.667,0.051,0.13699999999999998,8
35,kellin,14,9,9,64.3,0.14,1.36,6.07,4.58,26.64,0.8,7200.0,215.0,0.68,0.016,0.124,6
36,irove,45,16,16,35.6,0.4,2.53,5.44,2.31,42.69,1.25,7400.0,217.0,0.659,0.045,0.132,14
37,tarzan,45,16,16,35.6,1.67,2.02,4.56,3.08,172.0,5.05,10100.0,296.0,0.7020000000000001,0.188,0.18100000000000002,11
38,viper,45,16,16,35.6,3.13,1.62,3.27,3.95,337.67,9.92,14400.0,424.0,0.722,0.353,0.258,8
39,ucal,44,16,16,36.4,2.16,2.09,4.07,2.98,286.57,8.38,12500.0,365.0,0.687,0.23800000000000002,0.223,18
40,sword,28,10,10,35.7,1.54,2.61,3.71,2.01,260.14,7.32,12100.0,340.0,0.581,0.17,0.207,12
41,untara,9,5,5,55.6,1.11,2.11,3.56,2.21,242.11,7.21,11200.0,334.0,0.512,0.122,0.19699999999999998,5
42,hoya,8,1,1,12.5,2.13,2.63,1.88,1.52,219.5,7.47,10000.0,339.0,0.5,0.266,0.218,5
43,naehyun,1,0,0,0.0,0.0,0.0,0.0,0.0,265.0,9.53,9700.0,349.0,,,0.228,1
44,cuvee,45,17,17,37.8,2.07,3.09,3.73,1.88,249.04,7.54,11900.0,359.0,0.621,0.221,0.21600000000000003,17
45,haru,45,17,17,37.8,1.93,2.67,5.07,2.63,185.0,5.6,10500.0,319.0,0.75,0.207,0.192,12
46,lehends,45,17,17,37.8,0.6,2.76,6.78,2.68,48.27,1.46,7500.0,228.0,0.79,0.064,0.13699999999999998,13
47,tempt,39,15,15,38.5,2.26,2.23,4.28,2.93,288.41,8.67,12500.0,375.0,0.685,0.237,0.22399999999999998,16
48,vsta,35,13,13,37.1,2.6,2.0,4.29,3.44,277.69,8.39,12700.0,385.0,0.7090000000000001,0.268,0.231,9
49,lava,11,5,5,45.5,2.73,2.09,2.64,2.57,266.18,8.07,12500.0,379.0,0.6629999999999999,0.337,0.22899999999999998,8
50,zenit,5,1,1,20.0,0.8,3.4,4.6,1.59,250.0,8.13,10900.0,353.0,0.6920000000000001,0.10300000000000001,0.223,3
51,aiming,46,24,24,52.2,3.83,1.46,3.89,5.3,314.57,9.77,14400.0,446.0,0.8140000000000001,0.40399999999999997,0.26,12
52,kuro,46,24,24,52.2,2.26,1.46,4.59,4.7,264.39,8.21,11900.0,368.0,0.722,0.239,0.214,15
53,tusin,46,24,24,52.2,0.52,2.04,6.61,3.49,46.8,1.45,7600.0,237.0,0.752,0.055,0.138,14
54,bono,41,24,24,58.5,1.34,1.93,6.61,4.13,168.29,5.22,10000.0,310.0,0.789,0.133,0.17800000000000002,8
55,sohwan,40,22,22,55.0,1.45,2.05,3.6,2.46,254.03,7.93,11600.0,361.0,0.529,0.152,0.209,13
56,ray,6,2,2,33.3,2.17,2.83,2.83,1.76,247.67,7.45,11800.0,354.0,0.556,0.24100000000000002,0.213,4
57,malrang,5,0,0,0.0,1.2,2.0,2.6,1.9,145.8,4.62,9100.0,287.0,0.826,0.261,0.182,4
58,gorilla,38,15,15,39.5,0.45,2.34,6.45,2.94,35.34,1.08,7200.0,219.0,0.706,0.046,0.13,10
59,dove,37,15,15,40.5,2.16,1.92,3.86,3.14,275.92,8.38,12300.0,375.0,0.635,0.228,0.222,14
60,summit,32,11,11,34.4,2.0,2.91,4.0,2.06,274.28,8.18,12400.0,370.0,0.638,0.213,0.22,10
61,onfleek,29,9,9,31.0,2.03,2.62,4.97,2.67,192.9,5.61,10800.0,315.0,0.725,0.21100000000000002,0.187,8
62,route,25,8,8,32.0,3.28,1.96,3.72,3.57,330.88,9.85,14200.0,421.0,0.758,0.355,0.251,10
63,leo,19,8,8,42.1,2.74,1.68,4.16,4.09,324.89,9.66,13700.0,409.0,0.6579999999999999,0.261,0.24,8
64,punch,15,7,7,46.7,1.67,2.0,6.27,3.97,159.27,4.96,9600.0,299.0,0.7929999999999999,0.16699999999999998,0.17600000000000002,7
65,lonely,12,5,5,41.7,2.42,3.08,5.5,2.57,260.5,7.69,12400.0,365.0,0.736,0.225,0.215,4
66,fate,7,1,1,14.3,2.86,2.43,5.14,3.29,312.0,8.37,14300.0,383.0,0.7090000000000001,0.253,0.225,6
67,joker,6,1,1,16.7,0.33,3.0,5.0,1.78,41.83,1.08,8300.0,213.0,0.542,0.034,0.126,4
68,effort,44,30,30,68.2,0.84,2.3,7.41,3.59,40.89,1.2,8000.0,233.0,0.698,0.071,0.131,10
69,faker,44,30,30,68.2,2.89,1.41,4.98,5.58,304.91,8.92,13700.0,400.0,0.665,0.244,0.22399999999999998,19
70,teddy,44,30,30,68.2,4.16,1.23,4.59,7.13,366.66,10.73,15900.0,464.0,0.74,0.35200000000000004,0.26,9
71,canna,40,28,28,70.0,2.3,1.33,5.88,6.17,255.0,7.66,12400.0,373.0,0.691,0.195,0.209,14
72,cuzz,35,24,24,68.6,1.51,1.4,7.0,6.08,189.86,5.42,10900.0,311.0,0.743,0.132,0.175,9
73,ellim,9,6,6,66.7,1.67,1.67,8.89,6.33,157.78,5.13,9900.0,323.0,0.7979999999999999,0.126,0.179,4
74,roach,4,2,2,50.0,3.25,3.25,3.5,2.08,335.75,7.75,15800.0,366.0,0.574,0.27699999999999997,0.20800000000000002,3
