,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
0,cody sun,20,11,11,55.0,3.2,1.75,4.65,4.49,302.35,8.94,13900.0,411.0,0.6829999999999999,0.278,0.243,7
1,meteos,20,11,11,55.0,1.9,2.55,5.95,3.08,160.2,4.74,10100.0,298.0,0.6829999999999999,0.165,0.17600000000000002,7
2,ryoma,20,11,11,55.0,3.0,2.1,4.95,3.79,259.75,7.68,12300.0,364.0,0.691,0.261,0.215,7
3,ssumday,20,11,11,55.0,2.45,1.8,3.9,3.53,283.65,8.39,13400.0,396.0,0.552,0.213,0.23399999999999999,6
4,stunt,20,11,11,55.0,0.95,3.55,5.85,1.92,37.55,1.11,7600.0,225.0,0.591,0.083,0.133,7
5,blaber,18,17,17,94.4,4.0,1.72,7.44,6.65,188.0,6.04,11500.0,369.0,0.715,0.25,0.19399999999999998,5
6,licorice,18,17,17,94.4,2.44,1.78,6.0,4.75,267.67,8.6,13000.0,418.0,0.528,0.153,0.22,11
7,nisqy,18,17,17,94.4,3.5,1.67,7.61,6.67,232.44,7.47,12000.0,386.0,0.6940000000000001,0.21899999999999997,0.203,10
8,vulcan,18,17,17,94.4,1.22,1.33,9.33,7.92,41.94,1.35,8300.0,266.0,0.66,0.076,0.14,8
9,zven,18,17,17,94.4,4.83,0.89,6.06,12.25,292.5,9.4,14300.0,460.0,0.6809999999999999,0.302,0.242,6
10,ruin,18,3,3,16.7,2.5,3.0,4.56,2.35,256.61,7.5,12400.0,362.0,0.718,0.254,0.221,13
11,smoothie,18,3,3,16.7,0.67,2.78,6.17,2.46,32.06,0.94,7100.0,209.0,0.695,0.068,0.128,6
12,wiggily,18,3,3,16.7,1.72,3.17,5.67,2.33,182.17,5.32,10400.0,303.0,0.7509999999999999,0.175,0.185,9
13,stixxay,16,2,2,12.5,2.44,2.19,4.81,3.31,302.63,9.03,13100.0,391.0,0.725,0.244,0.239,6
14,pobelter,10,2,2,20.0,2.8,2.7,4.5,2.7,307.0,8.76,13900.0,397.0,0.67,0.257,0.23800000000000002,8
15,crown,8,1,1,12.5,2.63,3.25,2.88,1.69,248.38,7.48,11500.0,346.0,0.647,0.309,0.21600000000000003,8
16,wind,2,1,1,50.0,0.5,3.0,5.5,2.0,333.5,8.36,14900.0,372.0,0.706,0.059000000000000004,0.226,2
17,aphromoo,20,9,9,45.0,0.6,2.55,5.7,2.47,33.45,0.96,7600.0,216.0,0.649,0.062,0.13,5
18,froggen,20,9,9,45.0,2.7,1.5,4.45,4.77,298.0,8.52,13200.0,377.0,0.737,0.278,0.226,10
19,huni,20,9,9,45.0,1.35,2.75,4.05,1.96,271.25,7.75,12700.0,363.0,0.557,0.139,0.218,11
20,johnsun,20,9,9,45.0,2.85,1.6,3.7,4.09,330.65,9.45,14400.0,412.0,0.675,0.294,0.247,8
21,grig,12,5,5,41.7,1.25,2.83,4.17,1.91,156.83,4.68,9400.0,280.0,0.67,0.155,0.16899999999999998,5
22,akaadian,8,4,4,50.0,3.63,2.13,4.25,3.71,195.75,5.25,12200.0,327.0,0.649,0.299,0.19399999999999998,5
23,bang,19,11,11,57.9,3.47,0.95,5.16,9.11,292.21,8.68,13900.0,414.0,0.726,0.292,0.239,9
24,jiizuke,19,11,11,57.9,3.47,2.16,4.37,3.63,302.0,8.97,13900.0,412.0,0.659,0.292,0.23800000000000002,11
25,kumo,19,11,11,57.9,2.47,2.58,3.79,2.43,255.32,7.59,12300.0,364.0,0.527,0.20800000000000002,0.21100000000000002,7
26,svenskeren,19,11,11,57.9,1.53,3.21,6.26,2.43,156.53,4.65,9900.0,295.0,0.655,0.128,0.171,8
27,zeyzal,19,11,11,57.9,0.95,1.63,7.26,5.03,54.26,1.61,8200.0,244.0,0.69,0.08,0.141,7
28,ignar,19,10,10,52.6,0.58,2.05,6.74,3.56,42.89,1.3,7400.0,224.0,0.6920000000000001,0.055,0.134,10
29,powerofevil,19,10,10,52.6,3.68,1.89,3.74,3.92,304.79,9.22,13500.0,410.0,0.701,0.348,0.245,9
30,santorin,19,10,10,52.6,2.05,2.53,6.0,3.19,157.63,4.77,9800.0,297.0,0.7609999999999999,0.19399999999999998,0.17800000000000002,7
31,wildturtle,19,10,10,52.6,2.47,1.95,4.58,3.62,280.74,8.49,12800.0,386.0,0.667,0.23399999999999999,0.231,5
32,v1per,15,8,8,53.3,1.73,2.47,4.33,2.46,265.07,7.91,12000.0,359.0,0.562,0.16,0.214,7
33,solo,4,2,2,50.0,2.0,3.25,5.5,2.31,222.5,7.1,10800.0,345.0,0.769,0.205,0.209,3
