,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
0,caedrel,18,7,7,38.9,2.06,3.11,5.17,2.32,172.33,5.12,10300.0,307.0,0.6809999999999999,0.19399999999999998,0.179,9
1,expect,18,7,7,38.9,2.0,3.22,4.72,2.09,259.22,7.71,12500.0,373.0,0.634,0.188,0.218,9
2,mickey,18,7,7,38.9,3.0,2.72,4.33,2.69,277.72,8.26,12800.0,381.0,0.691,0.28300000000000003,0.223,12
3,patrik,18,7,7,38.9,2.94,2.39,4.78,3.23,310.78,9.24,14200.0,422.0,0.728,0.27699999999999997,0.247,7
4,tore,18,7,7,38.9,0.61,3.61,6.78,2.05,43.89,1.3,7600.0,227.0,0.696,0.057999999999999996,0.133,9
5,abbedagge,18,6,6,33.3,4.17,2.83,4.06,2.9,342.5,9.35,15400.0,419.0,0.67,0.33899999999999997,0.244,10
6,dreams,18,6,6,33.3,0.44,3.06,6.5,2.27,34.61,0.95,7900.0,216.0,0.5660000000000001,0.036000000000000004,0.126,4
7,odoamne,18,6,6,33.3,2.5,2.11,4.44,3.29,289.44,7.91,13600.0,373.0,0.5660000000000001,0.204,0.217,10
8,innaxe,12,6,6,50.0,3.58,1.58,5.83,5.95,360.17,9.55,16200.0,429.0,0.638,0.243,0.24100000000000002,5
9,lurox,12,5,5,41.7,2.25,2.08,5.33,3.64,172.83,4.6,10800.0,288.0,0.632,0.188,0.166,5
10,gilius,6,1,1,16.7,2.33,3.5,5.83,2.33,156.33,4.51,9800.0,284.0,0.636,0.182,0.17,5
11,forg1ven,6,0,0,0.0,1.5,2.83,3.5,1.76,330.17,9.59,13900.0,402.0,0.682,0.205,0.256,4
12,bwipo,18,13,13,72.2,3.33,2.94,6.17,3.23,217.56,6.96,12000.0,384.0,0.602,0.21100000000000002,0.20800000000000002,11
13,hylissang,18,13,13,72.2,0.94,3.17,8.22,2.89,43.67,1.4,7800.0,250.0,0.581,0.06,0.136,8
14,nemesis,18,13,13,72.2,2.56,2.11,6.11,4.11,272.89,8.73,12700.0,406.0,0.5489999999999999,0.162,0.22,9
15,rekkles,18,13,13,72.2,5.28,1.11,5.72,9.9,322.39,10.31,14800.0,472.0,0.6970000000000001,0.335,0.256,7
16,selfmade,18,13,13,72.2,3.67,2.61,6.5,3.89,157.89,5.05,10400.0,331.0,0.644,0.23199999999999998,0.18,8
17,caps,18,15,15,83.3,4.5,2.22,10.11,6.58,251.67,7.99,13400.0,424.0,0.743,0.22899999999999998,0.22899999999999998,8
18,jankos,18,15,15,83.3,5.33,2.17,8.22,6.26,170.0,5.4,11300.0,360.0,0.6890000000000001,0.271,0.19399999999999998,9
19,mikyx,18,15,15,83.3,1.67,2.72,12.28,5.12,50.78,1.61,8200.0,260.0,0.7090000000000001,0.085,0.14,10
