,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
0,alive,18,14,14,77.8,5.5,2.39,5.5,4.6,357.39,9.73,16900.0,460.0,0.767,0.384,0.256,7
1,jisu,18,14,14,77.8,3.22,2.78,4.72,2.86,298.83,8.13,14600.0,398.0,0.5539999999999999,0.225,0.221,8
2,newbie,18,14,14,77.8,0.72,1.5,10.39,7.41,44.67,1.22,8900.0,241.0,0.775,0.05,0.134,9
3,pancake,18,14,14,77.8,1.78,2.33,8.22,4.29,196.83,5.36,11700.0,320.0,0.698,0.124,0.17800000000000002,6
4,plugo,18,14,14,77.8,3.11,1.78,6.17,5.22,299.5,8.15,14000.0,380.0,0.647,0.217,0.21100000000000002,7
5,cody,14,2,2,14.3,2.64,3.0,3.43,2.02,324.14,8.53,14400.0,379.0,0.634,0.276,0.226,7
6,feitan,14,2,2,14.3,0.93,4.43,5.21,1.39,55.79,1.47,8800.0,232.0,0.642,0.09699999999999999,0.139,8
7,icebox,14,2,2,14.3,1.21,3.71,3.0,1.13,307.64,8.1,14200.0,373.0,0.44,0.127,0.223,7
8,koughi,14,2,2,14.3,2.21,3.14,4.29,2.07,182.57,4.8,11200.0,296.0,0.679,0.231,0.177,7
9,kreshtdoo,14,2,2,14.3,2.57,2.64,4.0,2.49,325.0,8.55,15000.0,394.0,0.687,0.26899999999999996,0.23600000000000002,8
10,baula,14,2,2,14.3,0.43,2.64,6.21,2.51,51.57,1.35,8300.0,217.0,0.75,0.048,0.134,8
11,emp,14,2,2,14.3,2.57,2.21,3.64,2.81,320.29,8.37,14100.0,370.0,0.7020000000000001,0.29,0.22899999999999998,7
12,nobody,12,2,2,16.7,2.17,2.5,3.17,2.13,353.17,9.41,15100.0,401.0,0.653,0.265,0.25,7
13,xypherz,12,2,2,16.7,1.17,2.5,4.42,2.23,166.67,4.44,10100.0,269.0,0.684,0.14300000000000002,0.16699999999999998,5
14,zelt,10,2,2,20.0,1.9,2.6,3.4,2.04,262.3,6.85,12800.0,335.0,0.631,0.226,0.207,8
15,zerito,6,0,0,0.0,2.67,3.83,4.5,1.87,317.33,8.02,14500.0,366.0,0.652,0.242,0.22399999999999998,5
16,zeicro,2,0,0,0.0,3.5,3.0,7.5,3.67,382.5,9.0,17100.0,401.0,0.846,0.26899999999999996,0.24100000000000002,2
17,cotopaco,18,13,13,72.2,2.83,1.72,4.72,4.39,261.11,7.54,12500.0,361.0,0.613,0.23,0.205,7
18,genthix,18,13,13,72.2,0.78,1.67,7.67,5.07,39.83,1.15,8200.0,238.0,0.685,0.063,0.135,6
19,solidsnake,18,13,13,72.2,1.78,1.67,6.5,4.97,163.78,4.73,10400.0,300.0,0.6709999999999999,0.14400000000000002,0.171,7
20,straight,18,13,13,72.2,1.61,1.33,5.5,5.33,296.94,8.57,13700.0,396.0,0.5770000000000001,0.131,0.225,10
21,whitelotus,18,13,13,72.2,5.33,1.33,4.22,7.17,354.94,10.24,16100.000000000002,464.0,0.775,0.43200000000000005,0.264,8
22,jirall,18,12,12,66.7,1.94,1.56,4.83,4.36,273.28,7.57,13400.0,372.0,0.55,0.158,0.21100000000000002,7
23,oddie,18,12,12,66.7,2.39,2.39,6.78,3.84,191.83,5.31,11600.0,322.0,0.743,0.19399999999999998,0.182,9
24,seiya,18,12,12,66.7,3.61,1.0,4.61,8.22,308.39,8.54,14400.0,398.0,0.667,0.293,0.225,11
25,slow,18,12,12,66.7,0.67,1.61,9.0,6.0,35.44,0.98,8500.0,235.0,0.784,0.054000000000000006,0.133,11
26,warangelus,18,12,12,66.7,3.72,1.06,4.72,8.0,345.0,9.56,15800.0,439.0,0.685,0.302,0.248,11
27,jauny,14,4,4,28.6,1.86,2.29,3.14,2.19,290.64,7.61,13400.0,350.0,0.534,0.198,0.213,9
28,qq,14,4,4,28.6,1.29,3.36,5.07,1.89,189.43,4.96,11000.0,289.0,0.679,0.13699999999999998,0.17600000000000002,7
29,toplop,14,4,4,28.6,3.14,2.57,3.93,2.75,354.71,9.28,15600.0,409.0,0.7559999999999999,0.336,0.249,7
30,madblade,8,3,3,37.5,0.5,3.38,6.88,2.19,36.38,0.88,8500.0,207.0,0.6559999999999999,0.044000000000000004,0.124,5
31,kz,8,2,2,25.0,2.38,2.5,3.75,2.45,295.25,8.28,13400.0,375.0,0.71,0.275,0.231,5
32,betatwinz,6,1,1,16.7,0.17,3.0,4.17,1.44,33.5,0.98,7000.0,205.0,0.634,0.024,0.128,3
33,kindless,4,2,2,50.0,4.0,3.0,5.25,3.08,428.5,9.65,18700.0,421.0,0.698,0.302,0.247,3
34,gavotto,2,0,0,0.0,1.5,2.5,1.5,1.2,283.0,7.87,12500.0,348.0,0.667,0.33299999999999996,0.226,2
35,acce,18,13,13,72.2,1.78,1.94,5.33,3.66,316.17,7.82,15000.0,371.0,0.595,0.149,0.214,8
36,josedeodo,18,13,13,72.2,2.72,1.11,5.89,7.75,209.78,5.19,12700.0,315.0,0.721,0.228,0.182,8
37,leza,18,13,13,72.2,3.67,1.56,4.56,5.29,364.39,9.01,16600.0,410.0,0.688,0.307,0.237,9
38,renyu,18,13,13,72.2,3.39,1.39,4.83,5.92,343.28,8.49,16300.0,403.0,0.688,0.284,0.233,8
39,shadow,18,13,13,72.2,0.39,1.33,8.5,6.67,56.83,1.41,9400.0,233.0,0.7440000000000001,0.033,0.134,9
40,focus,18,6,6,33.3,2.78,2.72,3.33,2.24,290.78,8.58,13400.0,395.0,0.701,0.318,0.248,11
41,frozen,18,6,6,33.3,2.83,2.56,3.72,2.57,265.5,7.83,12400.0,365.0,0.752,0.325,0.22899999999999998,11
42,aquasonic,16,6,6,37.5,0.94,2.94,3.75,1.6,245.13,7.06,11300.0,325.0,0.517,0.10300000000000001,0.203,6
43,unforgiven,16,6,6,37.5,1.63,2.75,4.69,2.3,155.63,4.62,9700.0,287.0,0.6779999999999999,0.174,0.17800000000000002,7
44,shu hari,15,6,6,40.0,0.8,2.53,5.33,2.42,45.8,1.35,8100.0,237.0,0.634,0.083,0.146,8
45,monsieur,4,0,0,0.0,0.5,2.75,1.25,0.64,174.25,5.56,8400.0,270.0,0.35,0.1,0.18100000000000002,4
46,crecre,3,0,0,0.0,0.33,3.67,3.0,0.91,33.0,0.99,6700.0,201.0,0.833,0.083,0.13699999999999998,3
