,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
0,fofo,42,20,20,47.6,3.43,1.86,5.29,4.69,276.21,8.15,13000.0,383.0,0.7440000000000001,0.293,0.223,17
1,jinjiao,42,20,20,47.6,3.19,2.17,4.83,3.7,310.33,9.16,14200.0,420.0,0.685,0.272,0.245,8
2,meteor,42,20,20,47.6,2.02,2.43,6.71,3.6,182.38,5.38,10900.0,322.0,0.746,0.17300000000000001,0.188,15
3,xinmo,42,20,20,47.6,0.5,3.14,7.45,2.53,34.36,1.01,7700.0,226.0,0.679,0.043,0.132,9
4,kingen,34,17,17,50.0,2.68,2.79,4.26,2.48,252.26,7.52,12500.0,371.0,0.591,0.228,0.21600000000000003,14
5,add,8,3,3,37.5,2.13,3.38,6.38,2.52,224.0,6.36,11800.0,334.0,0.731,0.183,0.19699999999999998,4
6,gala,35,14,14,40.0,2.89,2.09,5.11,3.84,299.43,9.28,13500.0,418.0,0.659,0.23800000000000002,0.24,7
7,mark,35,14,14,40.0,0.6,3.03,7.17,2.57,36.63,1.14,7400.0,229.0,0.64,0.049,0.132,10
8,natural,34,14,14,41.2,3.12,2.53,3.94,2.79,268.09,8.33,12800.0,397.0,0.573,0.253,0.22699999999999998,10
9,xiaopeng,31,14,14,45.2,2.48,3.03,7.29,3.22,168.74,5.21,10500.0,326.0,0.743,0.18899999999999997,0.184,8
10,xiye,26,9,9,34.6,3.65,2.54,4.15,3.08,252.35,7.92,12300.0,387.0,0.67,0.314,0.22399999999999998,12
11,xiaowei,9,5,5,55.6,2.56,2.11,6.78,4.42,270.67,8.09,12700.0,379.0,0.6890000000000001,0.18899999999999997,0.213,5
12,bless,4,0,0,0.0,0.5,3.75,3.0,0.93,139.5,4.46,7900.0,254.0,0.8240000000000001,0.11800000000000001,0.16399999999999998,4
13,melody,1,0,0,0.0,0.0,1.0,3.0,3.0,251.0,7.17,10500.0,299.0,0.5,0.0,0.2,1
14,hope,41,23,23,56.1,4.76,1.29,5.12,7.64,314.49,9.37,,,0.7140000000000001,0.344,,8
15,meiko,41,23,23,56.1,0.61,2.9,8.63,3.18,32.78,0.98,,,0.6679999999999999,0.044000000000000004,,7
16,scout,41,23,23,56.1,3.68,1.8,5.27,4.96,289.07,8.62,,,0.647,0.266,,15
17,junjia,27,15,15,55.6,1.67,2.93,7.93,3.28,157.26,4.54,,,0.723,0.126,,5
18,aodi,20,12,12,60.0,3.25,2.05,5.45,4.24,241.7,6.96,,,0.624,0.233,,5
19,jiejie,14,8,8,57.1,2.93,1.5,8.36,7.52,151.71,4.83,,,0.7559999999999999,0.196,,6
20,jinoo,14,8,8,57.1,1.93,2.43,6.0,3.26,225.71,7.19,,,0.531,0.129,,8
21,xiaoxiang,7,3,3,42.9,2.57,2.57,2.71,2.06,240.57,6.98,11800.0,343.0,0.46799999999999997,0.228,0.205,6
22,cryin,37,23,23,62.2,5.51,2.14,7.86,6.27,285.08,8.28,14500.0,422.0,0.7709999999999999,0.318,0.231,11
23,shiauc,37,23,23,62.2,1.62,3.3,10.54,3.69,36.62,1.06,8600.0,251.0,0.701,0.09300000000000001,0.13699999999999998,12
24,wei,37,23,23,62.2,2.57,2.7,10.68,4.9,155.05,4.5,11000.0,320.0,0.763,0.14800000000000002,0.17600000000000002,9
25,wink,37,23,23,62.2,4.76,2.03,7.62,6.11,344.86,10.01,16000.0,465.0,0.713,0.27399999999999997,0.255,7
26,xiaobai,37,23,23,62.2,2.89,2.81,7.3,3.63,243.84,7.08,12600.0,367.0,0.5870000000000001,0.16699999999999998,0.201,9
27,crisp,40,27,27,67.5,0.6,2.13,10.0,4.99,36.95,1.16,7500.0,237.0,0.7,0.04,0.132,9
28,doinb,40,27,27,67.5,4.38,1.98,6.83,5.67,268.77,8.46,13400.0,422.0,0.7390000000000001,0.289,0.23600000000000002,18
29,lwx,40,27,27,67.5,4.38,1.7,6.4,6.34,290.95,9.15,13900.0,437.0,0.711,0.289,0.244,6
30,tian,40,27,27,67.5,2.85,2.68,7.63,3.92,160.63,5.05,10300.0,325.0,0.691,0.188,0.18100000000000002,10
31,gimgoon,27,20,20,74.1,2.67,1.78,5.74,4.73,231.48,7.33,11600.0,367.0,0.551,0.175,0.203,6
32,khan,13,7,7,53.8,3.54,3.08,5.0,2.78,225.08,6.99,12200.0,378.0,0.5720000000000001,0.237,0.215,7
33,puff,39,28,28,71.8,5.18,2.31,5.26,4.52,277.59,9.2,,,0.638,0.317,,7
34,rookie,39,28,28,71.8,4.13,3.23,6.9,3.41,226.9,7.52,,,0.674,0.252,,12
35,southwind,39,28,28,71.8,0.97,2.21,9.31,4.66,42.51,1.41,,,0.629,0.06,,10
36,theshy,39,28,28,71.8,3.28,4.13,5.85,2.21,237.28,7.87,,,0.5579999999999999,0.201,,12
37,leyan,27,20,20,74.1,3.15,3.11,6.41,3.07,161.74,5.57,,,0.597,0.19699999999999998,,9
38,ning,12,8,8,66.7,2.0,3.33,8.58,3.18,170.08,5.2,,,0.617,0.11699999999999999,,6
39,kanavi,36,26,26,72.2,4.19,1.89,6.86,5.85,201.06,6.14,,,0.757,0.287,,11
40,loken,36,26,26,72.2,4.0,1.42,6.0,7.06,308.17,9.41,,,0.684,0.27399999999999997,,9
41,lvmao,36,26,26,72.2,0.56,2.06,9.86,5.07,38.78,1.18,,,0.713,0.038,,11
42,yagao,36,26,26,72.2,3.67,1.56,5.89,6.14,267.14,8.16,,,0.654,0.251,,12
43,705,20,10,10,50.0,1.6,3.2,5.75,2.3,244.1,7.16,11700.0,344.0,0.623,0.136,0.198,5
44,zoom,16,16,16,100.0,2.94,1.63,7.81,6.62,250.5,8.08,,,0.593,0.162,,4
45,kramer,38,15,15,39.5,4.03,2.84,5.87,3.48,275.74,8.37,,,0.7659999999999999,0.312,,7
46,peanut,38,15,15,39.5,3.32,2.66,6.39,3.65,182.53,5.54,,,0.752,0.257,,9
47,yuuki,35,14,14,40.0,3.17,3.11,5.71,2.85,278.11,8.34,13200.0,395.0,0.6779999999999999,0.242,0.228,14
48,lies,26,10,10,38.5,1.85,3.5,5.46,2.09,224.96,6.74,11200.0,335.0,0.552,0.14,0.193,9
49,killua,23,10,10,43.5,0.65,3.09,9.17,3.18,64.7,1.96,,,0.769,0.051,,7
50,chance,15,5,5,33.3,0.47,3.6,8.53,2.5,41.33,1.26,7500.0,228.0,0.685,0.036000000000000004,0.134,6
51,cult,6,3,3,50.0,3.33,4.17,4.67,1.92,257.0,7.53,12700.0,373.0,0.593,0.247,0.215,3
52,fenfen,5,2,2,40.0,2.2,3.2,5.2,2.31,184.2,6.29,10000.0,340.0,0.649,0.193,0.19399999999999998,3
53,lies,3,1,1,33.3,0.33,3.67,10.33,2.91,201.67,7.13,,,1.0,0.031,,2
54,yuuki,1,0,0,0.0,0.0,5.0,7.0,1.4,247.0,7.58,,,0.778,0.0,,1
55,maple,41,15,15,36.6,3.15,2.02,4.73,3.89,255.9,7.92,,,0.6990000000000001,0.27899999999999997,,11
56,xx,41,15,15,36.6,2.0,3.0,5.41,2.47,158.73,4.91,,,0.6579999999999999,0.177,,11
57,duan,39,15,15,38.5,0.67,3.49,6.72,2.12,51.15,1.58,,,0.63,0.057,,10
58,flandre,33,12,12,36.4,2.3,3.39,5.0,2.15,260.58,7.89,,,0.644,0.203,,10
59,asura,25,11,11,44.0,3.72,2.84,5.84,3.37,261.92,7.79,13300.0,395.0,0.7759999999999999,0.302,0.233,7
60,light,16,4,4,25.0,2.56,2.56,3.38,2.32,290.38,9.59,,,0.617,0.266,,3
61,chenlun17,8,3,3,37.5,1.88,3.0,4.5,2.13,197.5,6.73,9900.0,338.0,0.58,0.17,0.203,4
62,iwandy,2,0,0,0.0,0.0,5.5,1.5,0.27,36.0,1.22,5800.0,195.0,0.6,0.0,0.131,2
